特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(1-2年草の部賞）,鈴木　武志,335338,ﾋﾞｵﾗ'ﾃﾞｨｰｼﾞｪｲ ﾛｰｽﾞﾋﾟﾝｸ',3.5,15,愛知県　
2,東海農政局長賞,横井　直美,335789,ｽｲｰﾄｱﾘｯｻﾑ,2.5,24,愛知県　
3,愛知県知事賞,渡辺　政明,334689,ｷﾝｷﾞｮｿｳ'ｿﾈｯﾄ',3.5,20,愛知県　
4,岐阜県知事賞,浅野　寿晴,336324,ﾖｳｼｭｺﾊﾞﾝﾉｷ,3,24,岐阜県　
5,三重県知事賞(観葉植物、観賞樹、その他の部賞),伊藤　正,335283,ﾀﾆｸｼｮｸﾌﾞﾂ,2.5,24,三重県　
6,静岡県知事賞,服部　一夫,334982,ﾕｰﾌｫﾙﾋﾞｱ L.'ﾋﾒｼﾗﾕｷ',3,24,静岡県　
7,埼玉県知事賞,金井塚　良行,334289,ﾌﾟﾘﾑﾗ J.'ｷｬﾝﾃﾞｨ',3,28,埼玉県　
8,山形県知事賞(その他の花苗の部賞),大築　義夫,334571,ﾐﾆｼｸ'ｽｰﾊﾟｰｺﾝﾊﾟｸﾄ',3,28,山形県　
9,名古屋市長賞,麻野間　秀一,335489,ﾕｰﾌｫﾙﾋﾞｱ(ｸｻﾊﾞ),3,15,愛知県　
10,豊明市長賞,大岩　嘉治,334524,ｷﾞｮﾘｭｳﾊﾞｲ(ﾋﾟﾝｸ),3,24,愛知県　
11,愛知県花き温室園芸組合連合会会長賞,山口　俊樹,335058,ﾊﾟﾝｼﾞｰ'ﾜﾗｸ ｱﾌﾟﾘｺｯﾄﾃｨｰ',3.5,24,愛知県　
12,岐阜県園芸特産振興会会長賞,小林　錦司,335560,ﾆｼﾞｲﾛｽﾐﾚ(ｼﾘｰｽﾞ),3.5,24,岐阜県　
13,三重県花植木振興会会長賞,樋尾　文男,335691,ｽｲｰﾄｱﾘｯｻﾑ'EB.ﾎﾜｲﾄ',3,28,三重県　
14,静岡県鉢物生産振興会会長賞,桔川　典久,334998,ﾊﾞｺﾊﾟ,3,24,静岡県　
15,埼玉県花き園芸組合連合会会長賞,飯塚　和彦,334293,ﾌﾟﾘﾑﾗ J.'ﾏｽｶｯﾄﾉｼﾞｭﾚ',3.5,24,埼玉県　
16,山形県鉢物協議会会長賞,小松　武,334573,ﾊﾎﾞﾀﾝ'ﾌｧｰｽﾄﾚﾃﾞｨ',3.5,24,山形県　
17,(公社) 園芸文化協会会長賞,山口　真幹,334994,ﾋﾞｵﾗ(ﾐﾓﾄｺﾚｸｼｮﾝ),3.5,15,和歌山県
18,ＮＨＫ名古屋放送局長賞,森川　忠雄,336125,ﾊﾎﾞﾀﾝ'ﾍﾞﾙｻｲﾕ ﾌﾞﾗｯｸﾙｼｱﾝ',3,24,京都府　
19,ＮＨＫ出版賞,築城　俊彦,333993,ｶﾙｰﾅ ﾌﾞﾙｶﾞﾘｽ,3,24,北海道　
20,(株)花卉園芸新聞社賞,加藤　一好（ＪＡほくさい）,334279,ﾌﾟﾘﾑﾗ P.'ﾋﾞｸﾄﾘｱﾅ',3,28,埼玉県　
21,(株)草土出版賞,新井　信明,334320,ﾊﾎﾞﾀﾝ'ﾐﾂｺﾌﾟﾚﾐｱﾑ'(ｷﾚﾊﾞ),3.5,15,群馬県　
22,(株)誠文堂新光社｢農耕と園芸｣賞,茂木　敏明,334312,ｵｷｻﾞﾘｽ'ﾓﾓﾉｶｶﾞﾔｷ',3.5,20,埼玉県　
23,(株)ナカヤマ賞(多年草の部賞),川村　一徳,334351,ｲﾍﾞﾘｽ(ｷｬﾝﾃﾞｨﾀﾌﾄ),3.5,24,栃木県　
24,フォルツア(株)賞,小西　健,334480,ｸﾘｻﾝｾﾏﾑ'ｽﾉｰﾗﾝﾄﾞ',3,40,兵庫県　
25,丸種絵袋(株)賞,大塩　芳弘,334407,ﾊﾎﾞﾀﾝ'ﾐﾂｺ',3,24,兵庫県　
26,日本ハンギングバスケット協会理事長賞,増田　佳紀,334430,ﾐﾆﾊﾎﾞﾀﾝ,1,36,兵庫県　
27,日本ガーデンデザイナー協会会長賞,花井　清一,334705,ﾊﾟﾝｼﾞｰ'ｷﾃｨｰ ﾙｰﾚｯﾄ',3,28,愛知県　
28,豊明市商工会会長賞,千賀　英矢,334525,ｸﾌﾟﾚｯｻｽ'G.ｸﾚｽﾄｳｨﾙﾏ',3,24,愛知県　
29,東海地域花き普及・振興協議会会長賞,谷澤　明子,334370,ｲﾍﾞﾘｽ'ﾌﾞﾗｲﾀﾞﾙﾌﾞｰｹ',2.5,35,栃木県　
30,愛知豊明花き流通(協)理事長賞,片桐　康之,336647,ﾁｪｯｶｰﾍﾞﾘｰ(G.ﾌﾟﾛｸﾝﾍﾞﾝｽ),3,15,山形県　
31,豊成会会長賞,萩野　明男,335457,ﾜﾓﾉ,2.5,24,三重県　
32,豊和会会長賞,後藤　正,335414,ﾊﾎﾞﾀﾝ'ﾌﾟﾗﾁﾅｹｰﾙ',3.5,20,愛知県　
33,豊明花き(株)社長賞,森本　英友,335567,ﾊﾎﾞﾀﾝ,1,20,和歌山県
34,日本植物運輸(株)社長賞(ラベルポップ賞),石井　正義,334376,ﾊﾟﾝｼﾞｰ'ﾑｰﾗﾝﾌﾘﾙ',3,24,埼玉県　
