特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
19,ＮＨＫ出版賞,石原　玄太,571967,ﾐﾆｼｸ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3,1,山梨県　
20,㈱花卉園芸新聞社賞,石黒　明広,213290,ｶﾙｰﾅ V.'JD.ﾌﾟﾗﾁﾅ',3,1,北海道　
21,㈱誠文堂新光社｢農耕と園芸｣賞,増田　佳紀,215012,ﾏｲｸﾛﾐﾆﾊﾎﾞﾀﾝ,1,1,兵庫県　
22,㈱ﾅｶﾔﾏ賞(観葉・観賞樹・その他の部賞),藤島　昇,217433,ｺﾌﾟﾛｽﾏ,2.5,1,北海道　
23,ﾌｫﾙﾂｧ㈱賞,山下　正美,219317,ﾊﾎﾞﾀﾝ'ﾀﾝﾊﾞﾉﾕﾒ',3,1,兵庫県　
24,丸種絵袋㈱賞,長尾　安博,219405,ﾊﾎﾞﾀﾝ'ﾌｧﾙﾀﾞﾉｴﾙ',3,1,兵庫県　
25,(一社)日本ﾊﾝｷﾞﾝｸﾞﾊﾞｽｹｯﾄ協会理事長賞,安田　秀幸,217493,ﾊﾟﾝｼﾞｰ'ﾍﾟﾙｸﾚｱ',3.5,1,埼玉県　
26,(一社)日本ｶﾞｰﾃﾞﾝﾃﾞｻﾞｲﾅｰ協会会長賞,新井　信明,217520,ｷﾝｷﾞｮｿｳ'ｷｬﾝﾃﾞｨｰﾄｯﾌﾟｽ',3.5,1,群馬県　
27,豊明市商工会会長賞,梅村　庄治,219000,ｽｲｰﾄｱﾘｯｻﾑ(ｼｯｸｶﾗｰ),2.5,1,愛知県　
28,東海地域花き普及・振興協議会会長賞,山下　信哉,217542,ｷﾝｷﾞｮｿｳ'ﾑｰﾝﾗｲﾄｵﾌﾞﾄﾘﾆﾃｨ',2.5,1,埼玉県　
29,愛知豊明花き流通(協)理事長賞,渡辺　俊,218035,ﾊﾎﾞﾀﾝ'ﾎﾜｲﾄﾚﾃﾞｨｰ',3,1,宮城県　
30,豊成会会長賞,中村　利夫,218049,ﾊﾎﾞﾀﾝ'ﾌｧｰｽﾄﾚﾃﾞｨ',3.5,1,山形県　
31,豊和会会長賞,山崎　理生,218796,ﾊﾎﾞﾀﾝ(ﾆｼﾞｲﾛ),3,1,兵庫県　
32,豊明花き㈱社長賞,光菅　豊,571705,ﾋﾞｵﾗ'ﾃｨｱｰﾄﾞ',3.5,1,栃木県　
33,日本植物運輸㈱社長賞,藤島　正弘,217444,ｲﾀﾘｱｶｻﾏﾂ(ﾋﾟﾇｽ ﾋﾟﾈｱ),3,1,北海道　
34,ラベル・ポップ賞,樋田　幸正,571939,ｸﾛﾊﾞｽﾐﾚ(ﾋﾞｵﾗ ﾗﾌﾞﾗﾄﾞﾘｶ),2.5,1,愛知県　
