特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産省農産局長賞(品評会大賞)(花の部賞),田島　嶽,217409,ﾐﾆｼｸ'ｽｰﾊﾟｰｸﾚﾖﾝ'(ｼﾘｰｽﾞ),3,1,埼玉県　
2,東海農政局長賞,渡辺　邦通,218134,ｶｸﾃﾙﾏﾑ'ｽﾄﾘｰﾑﾋﾟﾝｸﾊﾞｲｶﾗｰ',3.5,1,愛知県　
3,愛知県知事賞,大竹　敏幸,218355,ﾋﾞｵﾗ'ﾓﾓｶ'(ｼﾘｰｽﾞ),3.5,1,愛知県　
4,岐阜県知事賞,野田　英樹,217914,ﾕﾘｵﾌﾟｽD.'ﾎﾞﾋﾞｰ'(ﾐﾄﾞﾘﾊﾞ),3,1,岐阜県　
5,三重県知事賞,桐生　悦夫,571916,ﾋﾞｵﾗ'ﾓﾓｶ'(ｼﾘｰｽﾞ),2.5,1,三重県　
6,静岡県知事賞,服部　拓哉,217328,ﾕｰﾌｫﾙﾋﾞｱ L.'ｼﾗﾕｷﾋﾒ',3,1,静岡県　
7,埼玉県知事賞,小河原　芳章（ＪＡほくさい）,217638,ﾌﾟﾘﾑﾗ J.'ﾌﾟﾚﾐｱﾑ'(ｼﾘｰｽﾞ),3.5,1,埼玉県　
8,山形県知事賞,會田　孝治,217667,ﾊﾎﾞﾀﾝ(ｽﾉｰｸﾘｽﾀﾙ),3,1,山形県　
9,名古屋市長賞,鈴木　寿久,579830,ﾋﾞｵﾗ'ﾃﾞｺﾙﾃ',3.5,1,愛知県　
10,豊明市長賞,服部　晃治,218746,ｶﾞｰﾍﾞﾗ(ﾐﾆ),3.5,1,愛知県　
11,愛知県花き温室園芸組合連合会会長賞,鈴木　武志,218501,ﾋﾞｵﾗ'ｲﾘｽﾌﾟﾘｴｰﾙ',3.5,1,愛知県　
12,岐阜県園芸特産振興会会長賞,吉田　一憲,217903,ｸｯｼｮﾝﾌﾞｯｼｭ,3,1,岐阜県　
13,三重県花植木振興会会長賞,伴　浩人,577687,ﾋﾞｵﾗ,3,1,三重県　
14,静岡県鉢物生産振興会会長賞,江間　一隆,213454,ｸﾌﾟﾚｯｻｽ'G.ｸﾚｽﾄｳｨﾙﾏ',2.5,1,静岡県　
15,埼玉県花き園芸組合連合会会長賞,石川　忍,571922,ﾊﾟﾝｼﾞｰ'ｴﾆﾅﾙｽﾐﾚ ﾊﾟﾙﾑ',3.5,1,埼玉県　
16,山形県鉢物協議会会長賞,小林　藤徳,217669,ﾊﾎﾞﾀﾝ'ﾐﾂｺﾌﾞﾗｯｸ',3,1,山形県　
17,(公社)園芸文化協会会長賞,松原　肇,214308,ﾋﾞｵﾗ'ﾌｧﾙﾌｧﾘｱ NO.17',3,1,群馬県　
18,ＮＨＫ名古屋放送局長賞,小河原　一雄（ＪＡほくさい）,217632,ﾌﾟﾘﾑﾗ J.'ｷｬﾝﾃﾞｨ'(ｼﾘｰｽﾞ),3,1,埼玉県　
