特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
30,品評会大賞(愛知豊明花き流通(協)理事長賞),桑畑　新一,259086,PHAL ﾌｪｱﾘｰﾃｲﾙ,8,1,宮崎県
31,品評会準大賞,福田　政一,260496,ｼｸﾗﾒﾝ'ﾌｧﾙﾌｧｰﾚ',6,1,栃木県
32,北海道知事賞,二階堂　博,256413,ﾂﾎﾞｻﾝｺﾞ(ﾎｲﾍﾗ),5,6,北海道
33,福島県知事賞,渡部　雅幸,260900,ﾊﾎﾞﾀﾝ'ﾌﾟﾗﾁﾅｹｰﾙ',6,1,福島県
34,群馬県知事賞,折原　孝昌,260513,ｼｸﾗﾒﾝ'ﾋﾟｱｽ',6,1,群馬県
35,茨城県知事賞,大久保　三男,261150,ﾎﾟｲﾝ'ﾌﾟﾘﾒｰﾛ ｼﾞﾝｸﾞﾙﾍﾞﾙ,5,3,茨城県
36,栃木県知事賞,永岡　康夫,260479,ｼｸﾗﾒﾝ,6,1,栃木県
37,埼玉県知事賞,塩原　茂夫,260727,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),5,3,埼玉県
38,千葉県知事賞,椎名　正剛,256332,DTPS ﾀﾞｲｱﾝｼｰﾅ'ﾕﾐ',13,1,千葉県
39,新潟県知事賞,西野　松太郎,257310,ﾎﾟｲﾝ'ﾋﾞｼﾞｮﾝｵﾌﾞｸﾞﾗﾝﾃﾞｰﾙ',5,3,新潟県
40,長野県知事賞,清水　耕作,261305,CYM ｱﾝｼﾞｪﾘｺ'ｱﾆﾊﾞｰｻﾘｰﾙｰｼﾞ,8,1,長野県
41,静岡県知事賞,服部　一夫,261402,ﾕｰﾌｫﾙﾋﾞｱ L.'ﾋﾒｼﾗﾕｷ',3.5,15,静岡県
42,岡山県知事賞,中原　精一,258062,CYM ﾊﾟｰﾑﾗｲﾝ'ﾙﾅ',6,2,岡山県
43,徳島県知事賞,松田　崇,258404,CYM ﾌｧﾝﾀｽﾃｨｯｸｶﾞｰﾙ'ﾘﾝﾀﾞ',6,2,徳島県
44,高知県知事賞,森尾　道正,260433,CYM ﾌｧﾝﾀｽﾃｨｯｸｶﾞｰﾙ'ﾘﾝﾀﾞ',12,1,高知県
45,福岡県知事賞,草場　利勝,258493,CYM 'ｲﾁｺﾞﾉｼｽﾞｸ',7,1,福岡県
46,宮崎県知事賞,岩切　信一,259066,PHAL 'ﾐﾓﾚ',10,1,宮崎県
47,北海道鉢花生産組合組合長賞,築城　正勝,258931,ﾁｪｯｶｰﾍﾞﾘｰ(G.ﾌﾟﾛｸﾝﾍﾞﾝｽ),4,11,北海道
48,福島県鉢花生産者協議会会長賞,佐藤　幸一,260841,ｼｸﾗﾒﾝ'ﾌﾟﾙﾏｰｼﾞｭ ｵﾚﾝｼﾞ',6,1,福島県
49,群馬県園芸協会会長賞,峯崎　正春,260518,ｼｸﾗﾒﾝ'ｽｸﾘｭｰｽﾀｰ',6,1,群馬県
50,(社)茨城県花き園芸協会会長賞,山口　卓夫,261136,ｼｸﾗﾒﾝ,6,2,茨城県
51,(一社)とちぎ農産物ﾏｰｹﾃｨﾝｸﾞ協会会長賞,吉原　一成,260509,ｼｸﾗﾒﾝ,6,1,栃木県
52,埼玉県花き園芸組合連合会会長賞,小林　滋幸,260771,ﾎﾟｲﾝｾﾁｱ,3.5,15,埼玉県
53,千葉県花き園芸組合連合会会長賞,山岸　正明,260933,ｼｸﾗﾒﾝ'ﾋﾟｱｽ',6,1,千葉県
