特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,坂野啓三,564921,CYM ﾋﾟﾉﾉﾜｰﾙ,6,1,愛知県
2,農林水産省農産局長賞,倉橋幸嗣,565380,CYM 'ｴﾝｼﾞｪﾙﾎﾟｲﾝﾄ',7,1,愛知県
3,東海農政局長賞,後藤昭辞,321534,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),7,1,愛知県
4,愛知県知事賞(豊明花き社長賞),小久保高浩,320994,ｼｸﾗﾒﾝ(F1),5,1,愛知県
5,岐阜県知事賞(豊成会会長賞),三浦綱彦,322499,ﾐﾆｼｸ'ﾋﾟﾎﾟｶ',6,1,岐阜県
6,三重県知事賞(豊和会会長賞),佐野拓也,319262,RAN ｿﾉﾀﾉﾗﾝ,12,1,三重県
7,名古屋市長賞,岩崎美知子,562914,ｷﾞｮﾘｭｳﾊﾞｲ(ﾋﾟﾝｸ),4,1,愛知県
8,豊明市長賞,河合幹雄,321016,ﾌﾟﾘﾝｾﾁｱ'ﾛｾﾞﾏｰﾌﾞﾙ',5,1,愛知県
9,愛知県経済農業協同組合連合会会長賞,篠田浩明,558278,ﾎﾟｲﾝｾﾁｱ,4,1,愛知県
10,愛知県花き温室園芸組合連合会会長賞,平野和実,558291,ﾌﾟﾘﾝｾﾁｱ'ﾛｰｻﾞ'(ﾔｴ),4,1,愛知県
11,岐阜県園芸特産振興会会長賞,鷹見直美,322922,ﾐﾆｼｸﾗﾒﾝ,3.5,1,岐阜県
12,三重県花植木振興会会長賞,山北敬次,321601,ﾎﾟｲﾝ'ｲﾀﾘｱﾝﾚｯﾄﾞ',4,1,三重県
13,ＮＨＫ名古屋放送局局長賞,麻野間秀一,320569,ﾐﾆｼｸ'ｶｰﾙ ﾚｯﾄﾞ',3,1,愛知県
14,豊明市商工会会長賞(アイデア賞),森田広幸,322299,ﾋﾒﾋｲﾗｷﾞ(ｱﾏﾐﾋｲﾗｷﾞ),2.5,1,愛知県
15,(公社)園芸文化協会会長賞,佐々木良己,321565,ﾐﾆｼｸ'ﾌｪｱﾘｰﾋﾟｺ'(ｼﾘｰｽﾞ),5,1,愛知県
16,ＮＨＫ出版賞,古川裕信,321062,ﾎﾟｲﾝ'ｸﾘｽﾏｽ ﾕﾆﾊﾞｰｽ',8.5,1,愛知県
17,東海地域花き普及・振興協議会会長賞,磯部徳松,321003,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',8,1,愛知県
18,愛知豊明花き流通(協)理事長賞,磯部雅広,321956,CYM ﾋﾟｭｱﾌﾗﾜｰ'ｺｲﾉﾖｶﾝ',8,1,愛知県
19,日本植物運輸(株)社長賞,中川弘朗,320980,ｸﾌﾟﾚｯｻｽ'G.ｸﾚｽﾄｳｨﾙﾏ',4,1,愛知県
