特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,河本　篤史,327411,ｿﾌｫﾗ ﾌﾟﾛｽﾄﾗｰﾀ'ﾘﾄﾙﾍﾞｲﾋﾞｰ',3,24,岐阜県
2,農林水産省農産局長賞,山本　勲,330917,ｱｶﾞﾍﾞ'ﾍﾞﾈｽﾞｴﾗ',10,1,愛知県
3,東海農政局長賞,小松　大輔,330296,ｱﾝｽﾘｳﾑ A.'ﾐｸﾗ',6,4,愛知県
4,愛知県知事賞(豊成会会長賞),荒木　敏美,329830,ｶﾗﾃｱ'ﾒﾀﾞﾘｵﾝ',8,1,愛知県
5,岐阜県知事賞(豊和会会長賞),中島　清,331207,ﾈﾑﾉｷ'ｴﾊﾞｰﾌﾚｯｼｭ',7,1,岐阜県
6,三重県知事賞(豊明花き社長賞),舘　誠,549707,ｱｽﾌﾟﾚﾆｳﾑ N.'ﾌﾟﾘｶﾂﾑ ｱｶｷ',9,1,三重県
7,名古屋市長賞,間瀬　潤一,329998,ﾕｰﾌｫﾙﾋﾞｱ ﾀﾞｲｳﾝｶｸ,6,5,愛知県
8,豊明市長賞,近藤　基美,563709,ﾓﾝｽﾃﾗ'ｱﾀﾞﾝｿﾆｰ',6,5,愛知県
9,愛知県経済農業協同組合連合会会長賞,青木　義邦,330047,ﾍﾃﾞﾗ ﾍﾘｯｸｽ,4,11,愛知県
10,愛知県花き温室園芸組合連合会会長賞,長島　昭彦,330892,ｶﾗﾃｱ ｵﾙﾋﾞﾌｫﾘｱ,6,6,愛知県
11,岐阜県園芸特産振興会会長賞,高木　兼雄,327151,ｽﾊﾟﾃｨﾌｨﾗﾑ'ﾒﾘｰ',6,5,岐阜県
12,三重県花植木振興会会長賞,中世古　大助,331301,ｽﾊﾟﾃｨﾌｨﾗﾑ'ｲｾﾋﾒ',4,11,三重県
13,ＮＨＫ名古屋放送局長賞,花井　充,563503,ﾌﾟﾗﾃｨｾﾘｳﾑ B.'ﾈｻﾞｰﾗﾝﾂﾞ',5,5,愛知県
14,豊明市商工会会長賞,夏目　正広,329914,ｸﾛﾄﾝ'ｽｰﾊﾟｰ',7,1,愛知県
15,屋内緑化推進協議会会長賞,原田　恒夫,329257,ﾃﾞｨｽｷﾃﾞｨｱ'ｶﾝｶﾞﾙｰﾎﾟｹｯﾄ',3,12,愛知県
16,(公社)園芸文化協会会長賞,加藤　隆雄,327009,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,3,12,三重県
17,ＮＨＫ出版賞,河合　康之,329827,ﾌｨﾛﾃﾞﾝ'ﾋﾟﾝｸﾌﾟﾘﾝｾｽ',7,2,愛知県
18,東海地域花き普及･振興協議会会長賞,宇佐美　竜雄,330523,ﾕｯｶ ｴﾗｰﾀ,13,1,愛知県
19,愛知豊明花き流通協同組合理事長賞,荒木　宗春,563626,ﾓﾝｽﾃﾗ'ｱﾀﾞﾝｿﾆｰ',8,1,愛知県
20,日本植物運輸㈱社長賞,小坂井　巧,330468,ｼｪﾌﾚﾗ A.'ｺﾝﾊﾟｸﾀ',6,5,愛知県
