特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,篠田浩明,521016,ﾎﾟｲﾝ'ｸﾘｽﾏｽｷｬﾝﾄﾞﾙ',5,4,愛知県
2,農林水産省農産局長賞,坂野啓三,525947,CYM 'ﾋﾟﾝｸﾍﾟﾙﾍﾟﾁｭｴﾙ',8,1,愛知県
3,東海農政局長賞,中川弘朗,418631,ｸﾌﾟﾚｯｻｽ'G.ｸﾚｽﾄｳｨﾙﾏ',3.5,11,愛知県
4,愛知県知事賞(豊成会会長賞),原田恒夫,521127,CYM ﾊﾟｰﾙﾚｲﾝ'ﾊﾅｶｶﾞﾘ',9,1,愛知県
5,岐阜県知事賞(豊和会会長賞),河野鉄博,520923,ﾎﾟｲﾝ'ｺﾞｰﾙﾄﾞ',5,6,岐阜県
6,三重県知事賞(豊明花き社長賞)(アイデア賞),佐野拓也,420675,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',6,2,三重県
7,名古屋市長賞,蟹江稔久,418832,CYM 'ｱｶﾙｲﾐﾗｲ',6,1,愛知県
8,豊明市長賞,磯部徳松,419605,CYM 'ｺﾞｰﾙﾄﾞｼｯﾌﾟ',8,1,愛知県
9,愛知県経済農業協同組合連合会会長賞,河合幹雄,419204,ﾌﾟﾘﾝｾﾁｱ'ﾛｾﾞﾏｰﾌﾞﾙ',4,8,愛知県
10,愛知県花き温室園芸組合連合会会長賞,服部健治,418785,PHAL ﾋﾟﾝｸｴｷﾄﾞﾅ,8,1,愛知県
11,岐阜県園芸特産振興会会長賞,,三浦綱彦,419996,ﾐﾆｼｸ'ﾋﾟﾎﾟｶ',6,1,岐阜県
12,三重県花植木振興会会長賞,森戸勝美,418549,ﾌﾟﾘﾑﾗ ﾏﾗｺｲﾃﾞｽ,4,11,三重県
13,ＮＨＫ名古屋放送局局長賞,麻野間秀一,419346,ﾐﾆｼｸ'ｶｰﾙ',3,12,愛知県
14,豊明市商工会会長賞,平野和実,520935,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),2.5,20,愛知県
16,(公社)園芸文化協会会長賞,山口直己,419589,CYM 'ﾌｸﾑｽﾒ',8,1,愛知県
17,ＮＨＫ出版賞,原田茂,419118,ﾎﾟｲﾝ'ﾗｲﾗﾚｯﾄﾞ',3.5,8,愛知県
18,東海地域花き普及・振興協議会会長賞,大西貴也,419563,ﾎﾟｲﾝ'ｲﾀﾘｱﾝﾚｯﾄﾞ',7,1,愛知県
19,愛知豊明花き流通(協)理事長賞,河合重徳,418707,PHAL SY.'V3 ｴﾘｻ',8.5,1,愛知県
20,日本植物運輸(株)社長賞,小笠原和英,416932,CYM ｴﾝｻﾞﾝS.'ｲﾝｻﾞﾑｰﾄﾞ',6.5,2,愛知県
