特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(多年草の部賞),鈴木　寿久,373790,ﾏｰｶﾞﾚｯﾄ'M.ﾍﾘｵｳｫｰﾀｰﾒﾛﾝ,3.5,20,愛知県
2,東海農政局長賞(その他の花苗の部賞),里邨　守彦,372488,ﾊｲﾄﾞﾗﾝｼﾞｱ(ﾌﾞﾙｰ),3.5,15,三重県
3,愛知県知事賞(1・2年草の部賞),梅村　庄治,372817,ﾋﾎﾟｴｽﾃｽ,2.5,24,愛知県
4,三重県知事賞,桐生　悦夫,372166,ｵｽﾃｵ'ﾄﾚｰﾄﾞｳｨﾝｽﾞ',3,20,三重県
5,岐阜県知事賞,野田　英樹,371387,ｵｽﾃｵ'ﾌﾗﾜｰﾊﾟﾜｰ',3.5,20,岐阜県
6,静岡県知事賞,山内　茂則,373736,ﾘﾅﾘｱ A.(ﾘｯﾌﾟﾙｽﾄｰﾝ),3.5,24,静岡県
7,埼玉県知事賞,新井　正芳（ＪＡほくさい）,371491,Gｶｰﾈ'ｴｽﾀ',3.5,15,埼玉県
8,名古屋市長賞,麻野間　秀一,371649,ﾋﾌﾟｾﾗ ﾚﾆﾌｫﾙﾐｽ,3,12,愛知県
9,豊明市長賞,山本　英行,372114,ｲﾚｼﾈ ﾘﾝﾃﾞﾆｰ,3,24,愛知県
10,愛知県花き温室園芸組合連合会会長賞,磯部　信満,372438,ﾗﾐｳﾑ,3,24,愛知県
11,三重県花植木振興会会長賞,伴　浩人,371165,ﾍﾟﾁｭﾆｱ'ﾌﾗｰ',3,28,三重県
12,岐阜県園芸特産振興会会長賞,佐竹　静,371377,ﾌﾗﾝﾈﾙﾌﾗﾜｰ'ﾌｪｱﾘｰﾎﾜｲﾄ',3.5,20,岐阜県
13,静岡県鉢物生産振興会会長賞,桔川　典久,372601,ｿﾗﾅﾑ ﾗﾝﾄﾈｯﾃｨｰ,3,24,静岡県
14,埼玉県花き園芸組合連合会会長賞,牛窪　弘樹（ＪＡいるま野）,371478,ﾏﾘｰｺﾞｰﾙﾄﾞ'ﾎﾞｰｲ',3.5,24,埼玉県
15,(社)園芸文化協会会長賞,山下　正美,371551,ｶﾞｰﾍﾞﾗ,3.5,20,兵庫県
16,ＮＨＫ名古屋放送局長賞(観葉植物・観賞樹・その他の部賞),小林　慧,373629,ｾﾀﾞﾑ,2.5,40,長野県
17,ＮＨＫ出版賞,赤井　信隆,370745,ﾍﾟﾁｭﾆｱ'ﾁｬｰﾐﾝｸﾞﾍﾞﾙ Wﾋﾟﾝｸ',3.5,12,宮崎県
18,(株)花卉園芸新聞社賞,滑川　裕之,371617,ｽｶﾋﾞｵｻ(ｱｵ),3.5,15,福島県
19,(株)誠文堂新光社「農耕と園芸」賞,谷井　敬一郎,371584,ﾂﾎﾞｻﾝｺﾞ(ﾎｲﾍﾗ),2.5,24,兵庫県
20,(株)草土出版社賞(ラベルポップ賞),大塩　芳弘,371519,ﾏﾘｰｺﾞｰﾙﾄﾞ'ﾁﾜﾜ'(ｼﾘｰｽﾞ),3,28,兵庫県
21,(株)ナカヤマ賞,浅井　崇紀,371586,G.ｾﾗｽﾁｵｲﾃﾞｽ(ｵﾉｴﾏﾝﾃﾏ),3,24,兵庫県
22,フォルツァ(株)賞,湯口　芳典,372126,ﾍﾘｸﾘｻﾑ'ｼﾙﾊﾞｰｷｬﾝﾄﾞﾙ',3,18,長野県
23,丸種絵袋(株)賞,田島　嶽,373240,ﾕｰﾌｫﾙﾋﾞｱ'ﾀﾞｲﾔﾓﾝﾄﾞﾌﾛｽﾄ',2.5,24,埼玉県
24,日本ハンギングバスケット協会理事長賞,水沼　功,371595,ﾐﾔｺﾜｽﾚ'ｴﾄﾞﾑﾗｻｷ',3.5,15,栃木県
25,日本ガーデンデザイナー協会会長賞,三木　勝彦,371589,ｶﾞｻﾞﾆｱ'ｶﾞｽﾞｰ',3.5,15,兵庫県
26,豊明市商工会会長賞,松本　吉弘,372005,ﾘｼﾏｷｱ'ｼｭｰﾃｨﾝｸﾞｽﾀｰ'(ﾌｲﾘ),3,24,愛知県
27,東海地域花き普及・振興協議会会長賞,相原　友道（ＪＡほくさい）,371499,ﾍﾟﾁｭﾆｱ'ｶｽｹｰﾄﾞ ｼｮｯｸｳｪｰﾌﾞ',4,6,埼玉県
28,豊成会会長賞,井出　暁彦,373606,ﾗﾍﾞﾝﾀﾞｰ ｽﾄｴｶｽ(ﾌﾚﾝﾁﾗﾍﾞﾝﾀﾞ,3.5,15,長野県
29,豊和会会長賞,鈴木　武志,371951,ｻﾙﾋﾞｱ'ﾎﾞﾙﾄﾞｰ',3.5,15,愛知県
30,豊明花き(株)社長賞,佐藤　正,371855,ﾀﾞﾘｱ'ｽﾏｲﾙ'(ｼﾘｰｽﾞ),3.5,15,愛知県
31,日本植物運輸(株)社長賞,大野　良知,372317,ﾃﾞﾛｽﾍﾟﾙﾏ,3,24,岐阜県
32,愛知豊明花き流通協同組合理事長賞,天沼　正夫（ＪＡほくさい）,371488,ﾍﾟﾁｭﾆｱ'ﾀﾞﾌﾞﾙｶｽｹｰﾄﾞ'(ｼﾘｰｽ,3.5,24,埼玉県
103,ラベルポップ賞,鈴木　寿久,373788,ﾍﾟﾁｭﾆｱ,3.5,20,愛知県
103,ラベルポップ賞,梅村　庄治,372812,ﾋﾒｺﾘｳｽ'ｺﾘﾝﾁｬﾝ',3,24,愛知県
103,ラベルポップ賞,野田　直哉,372595,ﾍﾟﾁｭﾆｱ'ﾘﾝﾎﾞｰ',3,28,愛知県
