特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,山本　勲,371956,ｶﾗﾃｱ,7,1,愛知県
2,生産局長賞,河合　康之,371255,ﾔﾂﾃﾞﾂﾑｷﾞｼﾎﾞﾘ'(ﾌｲﾘ),6,2,愛知県
3,東海農政局長賞,皿井　勝喜,371296,ﾄﾞﾗｾﾅ D.'ﾜｰﾈｯｷｰ',10,1,愛知県
4,愛知県知事賞(豊和会会長賞)(努力賞),鈴木　正吉,371983,ﾌｨｶｽ B.'ｽﾀｰﾗｲﾄBｸｲｰﾝ',8,1,愛知県
5,岐阜県知事賞(豊明花き㈱社長賞),川島　啓良,370077,ﾂﾋﾟﾀﾞﾝﾂｽ ｶﾘﾌﾟﾄﾗﾂｽ(ﾌｲﾘ),10,1,岐阜県
6,三重県知事賞（豊成会会長賞）,北川　博美,372532,ﾁｬﾗﾝ,6,5,三重県
7,名古屋市長賞,曽田　義則,371993,ﾀﾆｸ(ｳｻｷﾞﾉｶｸﾚﾝﾎﾞ),3,12,愛知県
8,豊明市長賞,大岩　辰男,372004,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',7,1,愛知県
9,愛知県花き温室園芸組合連合会会長賞,花井　充,371191,ﾈｵﾚｹﾞﾘｱ'ﾌｧｲﾔｰﾎﾞｰﾙ',6.5,2,愛知県
10,岐阜県園芸特産振興会会長賞,伊藤　富美男,371398,ﾐﾆｶﾝﾖｳ,2.5,12,岐阜県
11,三重県花植木振興会会長賞,堀　明,373740,ｶﾞｼﾞｭﾏﾙ,4,11,三重県
12,NPO法人 観葉植物開発普及協会会長賞,海田　多郎,372435,ﾗﾐｳﾑ,6,4,愛知県
13,愛知県経済農業協同組合連合会会長賞,近藤　雄三,372520,ｸﾞｽﾞﾏﾆｱ'ﾀﾞｲｱﾅ'(ｷｲﾛ),5,4,愛知県
14,(社)園芸文化協会会長賞,冨永　力,371943,ﾃﾞﾍﾝﾊﾞｷｱ'ｶﾐｰﾗ',6,6,愛知県
15,NHK名古屋放送局長賞,荒木　敏美,371271,ｶﾗﾃｱ,8,1,愛知県
16,ＮＨＫ出版賞,長尾　悟,371910,ｼｪﾌﾚﾗ A.'ﾎﾝｺﾝ',4,8,愛知県
17,豊明市商工会会長賞,米津　一義,372982,ｱﾝｽﾘｳﾑ A.'ﾋﾞﾀﾗ',4,12,愛知県
18,東海地域花き普及・振興協議会会長賞,千賀　伸夫,371997,ﾄﾞﾗｾﾅ D.'ｺﾝﾊﾟｸﾀ',6,5,愛知県
