特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産省農産局長賞(品評会大賞)(花の部賞),小関正司,322627,ﾐﾆｼｸ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3,1,岐阜県
2,東海農政局長賞,半田裕己,565475,ｷﾝｷﾞｮｿｳ'ｷｬﾝﾃﾞｨｰﾄｯﾌﾟｽ',3,1,愛知県
3,愛知県知事賞,日比野勝也,322079,ｼﾛﾀｴｷﾞｸ'ｼﾙﾊﾞｰﾚｰｽ',2.5,1,愛知県
4,岐阜県知事賞,吉田一憲,558340,ﾎﾟｲﾝ'P.ｱｲｽｸﾘｽﾀﾙ',3,1,岐阜県
5,三重県知事賞,桐生悦夫,562558,ﾋﾞｵﾗ'ﾓﾓｶ'(ｼﾘｰｽﾞ),2.5,1,三重県
6,静岡県知事賞,服部拓哉,321939,ﾕｰﾌｫﾙﾋﾞｱ L.'ﾋﾒｼﾗﾕｷ',3,1,静岡県
7,埼玉県知事賞,安田秀幸,320806,ﾋﾞｵﾗ'ﾊﾅｱﾗﾚ',3.5,1,埼玉県
8,山形県知事賞,山平康博,320907,ﾊﾎﾞﾀﾝ'ﾚﾃﾞｨ'(ｼﾘｰｽﾞ),3.5,1,山形県
9,名古屋市長賞,渡辺邦通,321943,ﾎﾟｯﾄﾏﾑ'ﾉﾊﾞﾗｲﾑ',3.5,1,愛知県
10,豊明市長賞,梅村庄治,322667,ｽｲｰﾄｱﾘｯｻﾑ(ｼｯｸｶﾗｰ),2.5,1,愛知県
11,愛知県花き温室園芸組合連合会会長賞,大場修二,321013,ｽﾄｯｸ'ｷｽﾐｰ'(ﾔｴ),3,1,愛知県
12,岐阜県園芸特産振興会会長賞,佐伯有朋,558427,ｾﾀﾞﾑ,2.5,1,岐阜県
13,三重県花植木振興会会長賞,清水亮,558366,ｽｲｰﾄｱﾘｯｻﾑ'ｽﾉｰｸﾘｽﾀﾙ',3,1,三重県
14,静岡県鉢物生産振興会会長賞,大村温績,322694,ﾊﾟﾝｼﾞｰ'ﾖｸｻｸｽﾐﾚ'(ｼﾘｰｽﾞ),3.5,1,静岡県
15,埼玉県花き園芸組合連合会会長賞,山下信哉,320796,ｽｲｰﾄｱﾘｯｻﾑ'ﾌﾛｽﾃｨｰﾅｲﾄ',3.5,1,埼玉県
16,山形県鉢物協議会会長賞,須貝秀作,320987,ﾕｰﾌｫﾙﾋﾞｱ(ｸｻﾊﾞ),3.5,1,山形県
17,(公社)園芸文化協会会長賞,松原肇,320814,ﾊﾟﾝｼﾞｰ'ｱﾝﾃｨｰｸﾗｯﾌﾙ ﾌﾘﾙﾌﾞﾙ,3,1,群馬県
18,ＮＨＫ名古屋放送局長賞,西森英亮,565882,ﾋﾞｵﾗ'ｿﾙﾍﾞ'(ｼﾘｰｽﾞ),3,1,奈良県
19,ＮＨＫ出版賞,原俊彦,319005,ﾊﾎﾞﾀﾝ'ﾀﾞｲﾔﾓﾝﾄﾞ',3,1,兵庫県
20,㈱花卉園芸新聞社賞,下原隆志,322052,ｶﾙｰﾅ ﾌﾞﾙｶﾞﾘｽ,3,1,長野県
21,㈱誠文堂新光社｢農耕と園芸｣賞,光菅豊,558238,ﾋﾞｵﾗ'ﾊﾅｱﾗﾚ',3.5,1,栃木県
22,㈱ﾅｶﾔﾏ賞,名内稔弘,321486,ﾐﾆｼｸ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3,1,北海道
23,ﾌｫﾙﾂｧ㈱賞,新井正芳,320726,ﾌﾟﾘﾑﾗ P.'ｾﾝｾｰｼｮﾝ ｽﾄﾗｲﾌﾟ',3.5,1,埼玉県
24,丸種絵袋㈱賞(観葉・観賞樹・その他の部賞),渡辺義弘,321007,ﾌｨﾛﾃﾞﾝ ｾﾛｳﾑ'ｽｰﾊﾟｰｱﾄﾑ',3.5,1,愛知県
25,(一社)日本ﾊﾝｷﾞﾝｸﾞﾊﾞｽｹｯﾄ協会理事長賞,樋田幸正,564497,ｸﾛﾊﾞｽﾐﾚ(ﾋﾞｵﾗ ﾗﾌﾞﾗﾄﾞﾘｶ),2.5,1,愛知県
26,(一社)日本ｶﾞｰﾃﾞﾝﾃﾞｻﾞｲﾅｰ協会会長賞,横井直美,320823,ﾋﾞｵﾗ'ｿﾙﾍﾞXP ｲｴﾛｰﾋﾟﾝｸｼﾞｬﾝ,3.5,1,愛知県
27,豊明市商工会会長賞,鈴木武志,321704,ﾋﾞｵﾗ'ﾃﾞｨｰｼﾞｪｲ'(ｼﾘｰｽﾞ),3.5,1,愛知県
28,東海地域花き普及・振興協議会会長賞,大竹敏幸,322356,ﾋﾞｵﾗ'FP ﾎﾜｲﾄﾛｰｽﾞｳｨﾝｸﾞ',3.5,1,愛知県
29,愛知豊明花き流通(協)理事長賞,片山秀一,319540,ﾊﾎﾞﾀﾝ(ﾐｶｻ),3.5,1,兵庫県
30,豊成会会長賞,長尾安博,320680,ﾊﾎﾞﾀﾝ(ｶｸﾃﾙﾊﾟｰﾃｨｰ),3.5,1,兵庫県
31,豊和会会長賞,森文男,321150,ﾊﾟﾝｼﾞｰ,3,1,愛知県
32,豊明花き㈱社長賞,鈴木寿久,566043,ﾊﾟﾝｼﾞｰ'ﾌｧﾋﾞｭﾗｽ'(ｼﾘｰｽﾞ),3.5,1,愛知県
33,日本植物運輸㈱社長賞,高橋学,321419,ﾐﾆｼｸ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3,1,北海道
