特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(多年草の部賞）,村松　正人,261564,ﾊﾞｺﾊﾟ'ｺﾋﾟｱ ｸﾞﾚｰﾄﾋﾟﾝｸﾘﾝｸﾞ,3.5,15,愛知県
2,東海農政局長賞(1・2年草の部賞）,鈴木　武志,260955,ﾋﾞｵﾗ'ﾃﾞｨｰｼﾞｪｲ'(ｼﾘｰｽﾞ),3.5,12,愛知県
3,愛知県知事賞(観葉植物・観賞樹・その他の部賞）,西尾　昌直,261919,ﾁｪｯｶｰﾍﾞﾘｰ(G.ﾌﾟﾛｸﾝﾍﾞﾝｽ),3,15,愛知県
4,岐阜県知事賞,浅野　寿晴,260869,ﾌﾞﾗｷｶﾑ(ﾋﾒｺｽﾓｽ),3,24,岐阜県
5,三重県知事賞,桐生　悦夫,261450,ﾊﾟﾝｼﾞｰ'ﾌﾘｽﾞﾙｼｽﾞﾙ',3.5,24,三重県
6,静岡県知事賞,服部　一夫,261404,ﾕｰﾌｫﾙﾋﾞｱ L.'ﾋﾒｼﾗﾕｷ',3,24,静岡県
7,埼玉県知事賞,茂木　敏明,260699,ｵｷｻﾞﾘｽ'ﾓﾓﾉｶｶﾞﾔｷ',3.5,20,埼玉県
8,山形県知事賞,山平　康博,260913,ﾊﾎﾞﾀﾝ'ﾌﾟﾗﾁﾅｹｰﾙ',3.5,20,山形県
9,名古屋市長賞(ラベルポップ賞),高橋　成治,260967,ﾀﾆｸｼｮｸﾌﾞﾂ,3,12,愛知県
10,豊明市長賞,横井　直美,261923,ｽｲｰﾄｱﾘｯｻﾑ,2.5,15,愛知県
11,愛知県花き温室園芸組合連合会会長賞,渡辺　宏修,260614,ｽｲｰﾄｱﾘｯｻﾑ'ﾊﾟｽﾃﾙｶｰﾍﾟｯﾄ',3.5,24,愛知県
12,岐阜県園芸特産振興会会長賞,小林　錦司,261679,ﾋﾞｵﾗ'ﾃﾞｨｰｼﾞｪｲ'(ｼﾘｰｽﾞ),3.5,12,岐阜県
13,三重県花植木振興会会長賞,馬戸場　敏光,261597,ﾊﾟﾝｼﾞｰ,3,40,三重県
14,静岡県鉢物生産振興会会長賞,中村　和明,262442,ｷﾝｷﾞｮｿｳ,3,28,静岡県
15,埼玉県花き園芸組合連合会会長賞,,262176,ｱﾙﾒﾘｱ'ｴﾝｾﾞﾙﾎﾞｰﾙ',3.5,15,埼玉県
16,山形県鉢物協議会会長賞,大築　義夫,261329,ﾐﾆｼｸﾗﾒﾝ'ｽｰﾊﾟｰｺﾝﾊﾟｸﾄ',3,28,山形県
17,(社) 園芸文化協会会長賞,大塩　芳弘,260330,ﾊﾎﾞﾀﾝ'ﾐﾂｺ',2.5,24,兵庫県
18,ＮＨＫ名古屋放送局長賞,森川　忠雄,258753,ﾊﾎﾞﾀﾝ'ﾍﾞﾙｻｲﾕ ﾌﾞﾗｯｸﾙｼｱﾝ',3,24,京都府
19,ＮＨＫ出版賞(その他の花苗の部賞）,小林　慧,261709,ｼｸﾗﾒﾝ(ﾔｴ),3,15,長野県
20,(株)花卉園芸新聞社賞,高橋　学,259017,ﾐﾆｼｸﾗﾒﾝ'ﾋﾟｶｿ'(ｼﾘｰｽﾞ),3,15,北海道
21,(株)草土出版賞,小林　次夫,260566,ﾐﾆｼｸﾗﾒﾝ,3,24,群馬県
22,(株)誠文堂新光社｢農耕と園芸｣賞,村岡　昌美,262861,ﾅﾃﾞｼｺ'ﾋﾟｰﾁﾌﾟﾘﾝｾｽ',3,24,鳥取県
23,(株)ナカヤマ賞,西山　正一,260613,ﾘﾅﾘｱ,3,28,愛知県
24,フォルツア(株)賞,内山　隆之,261031,ﾒﾗﾚｳｶ'ﾚﾎﾞﾘｭｰｼｮﾝｺﾞｰﾙﾄﾞ',3,20,福岡県
25,丸種絵袋(株)賞,鈴木　俊久,260310,ｺﾌﾟﾛｽﾏ'ｺｰﾋｰ',3,24,静岡県
26,日本ハンギングバスケット協会理事長賞,森本　英友,256110,ﾊﾎﾞﾀﾝ,3,28,和歌山県
27,日本ガーデンデザイナー協会会長賞,竹内　康久,260384,ｽﾄｯｸ'ﾋﾞﾝﾃｰｼﾞ',3,24,兵庫県
28,豊明市商工会会長賞,杉浦　博樹,260966,ﾌｨｶｽ ﾙﾋﾞｷﾞﾉｰｻ(ﾌｲﾘ),3.5,6,愛知県
29,東海地域花き普及・振興協議会会長賞,犬塚　和義,261817,ﾐｶﾜｸﾛﾏﾂ,3,12,愛知県
30,愛知豊明花き流通(協)理事長賞,,259690,ｸﾘｽﾏｽﾛｰｽﾞ ﾆｹﾞﾙ,3.5,20,大阪府
31,豊成会会長賞,日比野　勝也,261882,ｷﾝｷﾞｮｿｳ,3.5,15,愛知県
32,豊和会会長賞,山下　正美,260322,ﾋﾞｵﾗ(ﾐﾓﾄｺﾚｸｼｮﾝ),3.5,20,兵庫県
33,豊明花き(株)社長賞,麻野間　秀一,261684,ｼｸﾗﾒﾝ'ﾜｰﾘｰｷﾞｸﾞ',3,11,愛知県
34,日本植物運輸(株)社長賞,大西　佳代子,261803,ﾋﾞｵﾗ,3,28,三重県
103,ラベルポップ賞,後藤　正,260981,ﾊﾎﾞﾀﾝ'ﾌﾟﾗﾁﾅｹｰﾙ',3.5,20,愛知県
103,ラベルポップ賞,大竹　敏幸,261065,ﾋﾞｵﾗ'ﾓﾓｶ'(ｼﾘｰｽﾞ),3.5,24,愛知県
