特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,品評会大賞(愛知豊明花き流通協同組合理事長賞),冨田　実央,527112,ﾒﾃﾞｨﾆﾗ M.'ﾌﾗﾒﾝｺ',7,1,埼玉県　
2,品評会準大賞,儀部　拓真,230062,ｱｶｻﾔﾈﾑﾉｷ'ｴﾊﾞｰﾌﾚｯｼｭ',12,1,沖縄県　
3,千葉県知事賞,加瀬　哲男,234157,ｱｴｵﾆｳﾑ ﾊｳｫﾙｼｰ'ｷｳｲ',2.5,1,千葉県　
4,静岡県知事賞,片岡　豊,232322,ﾎﾟﾄｽ'ｽﾃｰﾀｽ',7,1,静岡県　
5,鹿児島県知事賞,弓指　隆男,232315,ﾕｯｶ ｴﾚﾌｧﾝﾃｨﾍﾟｽ,10,1,鹿児島県
6,沖縄県知事賞,比嘉　悟,230060,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),8,1,沖縄県　
7,指宿市長賞,田中　喜巳,230332,ﾎﾟﾘｼｬｽ,4,1,鹿児島県
8,千葉県花き園芸組合連合会会長賞,高橋　繁之,233126,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,8,1,千葉県　
9,静岡県鉢物生産振興会会長賞,鈴木　則和,526926,ﾊﾟｷﾗ ｸﾞﾗﾌﾞﾗ,7,1,静岡県　
10,鹿児島県花き振興会会長賞,上西園　太市,230441,ﾊﾟｷﾗ'ﾐﾙｷｰｳｪｲ',7,1,鹿児島県
11,沖縄県花き園芸協会会長賞,島袋　真史,229646,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,10,1,沖縄県　
12,(一社)日本花き卸売市場協会会長賞,立光　真一郎,234585,ｱﾝｽﾘｳﾑ A.'ｿﾗﾗ',7,1,長崎県　
13,(一財)日本花普及ｾﾝﾀｰ会長賞,下川　正美,230355,ﾄﾞﾗｾﾅ C.'ｱﾝﾄﾗ',5,1,福岡県　
14,愛知園芸商組合理事長賞,波左間　廣美,230107,ﾃﾞﾍﾝﾊﾞｷｱ'ｸｰﾙﾋﾞｭｰﾃｨｰ',6,1,福岡県　
15,屋内緑化推進協議会会長賞,杉本　佑貴,231769,ｻﾗｾﾆｱ,4.5,1,福岡県　
16,(公社)園芸文化協会会長賞,天久　学,230088,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,7,1,沖縄県　
17,ＮＨＫ出版賞,登川　良雄,230054,ﾂﾋﾟﾀﾞﾝｻｽ ｶﾘﾌﾟﾄﾗﾂｽ,7,1,沖縄県　
18,東海地域花き普及･振興協議会会長賞,當山　安寿,229655,ﾌｨｶｽ ﾍﾞﾝｶﾞﾚﾝｼｽ,10,1,沖縄県　
19,豊成会会長賞,比嘉　文雄,230064,ﾄﾞﾗｾﾅ R.'ｿﾝｸﾞｵﾌﾞｲﾝﾃﾞｨｱ',8,1,沖縄県　
20,豊和会会長賞,鈴木　敦生,235288,ﾌｨｶｽ B.(ﾍﾞﾝｼﾞｬﾐﾅ),6,1,静岡県　
21,豊明花き㈱社長賞,竹内　誠二,234749,ｱｼﾞｱﾝﾀﾑ ﾌﾗｸﾞﾗﾝｽ,8,1,静岡県　
22,日本植物運輸㈱社長賞,村松　厚一,230315,ﾊﾗﾝ'ｷﾝﾎﾞｼ',8,1,静岡県　
