特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,宇佐美竜雄,437598,ﾕｯｶ ﾛｽﾄﾗｰﾀ,15,1,愛知県
2,農林水産省農産局長賞,荒木敏美,436723,ｽﾊﾟﾃｨﾌｨﾗﾑ'ﾀﾞｲﾔﾓﾝﾄﾞ',8,1,愛知県
3,東海農政局長賞,伊藤好博,437858,ﾐﾙｸﾌﾞｯｼｭ'ｲｴﾛｰﾏｼﾞｯｸ',7,1,三重県
4,愛知県知事賞(豊和会会長賞),山下直木,555298,ﾃﾝﾉｳﾒ(ｲｿｻﾞﾝｼｮｳ),4,1,愛知県
5,岐阜県知事賞(豊明花き社長賞),河本篤史,437493,ｿﾌｫﾗ ﾌﾟﾛｽﾄﾗｰﾀ'ﾘﾄﾙﾍﾞｲﾋﾞｰ',3,1,岐阜県
6,三重県知事賞(豊成会会長賞),舘誠,436335,ｱｽﾌﾟﾚﾆｳﾑ N.'ﾌﾟﾘｶﾂﾑ ｱｶｷ',7,1,三重県
7,名古屋市長賞,鷲尾昭夫,437564,ﾎﾟﾄｽ'ｴﾒﾗﾙﾄﾞ',5,1,愛知県
8,豊明市長賞,小松大輔,438056,ｱﾝｽﾘｳﾑ'ｱﾝｽﾘﾆﾘﾘｰ',4.5,1,愛知県
9,愛知県経済農業協同組合連合会会長賞,皿井昌幸,437400,ｱﾝｽﾘｳﾑ A.'ｾﾝﾌﾟﾚ',10,1,愛知県
10,愛知県花き温室園芸組合連合会会長賞,荒木宗春,547840,ﾏﾄﾞｶｽﾞﾗ,8,1,愛知県
11,岐阜県園芸特産振興会会長賞,加藤孝義,437495,ｱｸﾞﾗｵﾈﾏ ｺﾝﾀｰﾂﾑ,5,1,岐阜県
12,三重県花植木振興会会長賞,服部邦啓,438220,ﾎﾟﾄｽ'ﾗｲﾑ',7,1,三重県
13,ＮＨＫ名古屋放送局長賞,村上雅彦,436966,ｱﾌｪﾗﾝﾄﾞﾗ S.'ﾀﾞﾆｱ',4,1,愛知県
14,豊明市商工会会長賞,小久保勝大,436717,ﾈｵﾚｹﾞﾘｱ'ﾌｧｲﾔｰﾎﾞｰﾙ',8,1,愛知県
15,屋内緑化推進協議会会長賞,大林智子,437551,ﾌｨﾛﾃﾞﾝ'ﾋﾟﾝｸﾌﾟﾘﾝｾｽ',8,1,愛知県
16,(公社)園芸文化協会会長賞(審査員特別賞),杉原芳英,437368,ﾎﾟﾄｽ,10,1,愛知県
17,ＮＨＫ出版賞,花井充,547838,ﾎﾟﾘﾎﾟｼﾞｳﾑ A.'ﾀﾊﾞﾅ',5,1,愛知県
18,㈱花卉園芸新聞社賞,片桐正一,435151,ﾌﾟﾗﾃｨｾﾘｳﾑ ｸﾞﾗﾝﾃﾞ,4.5,1,愛知県
19,㈱誠文堂新光社「農耕と園芸」賞,太田克幸,437630,ﾈﾍﾟﾝﾃｽ ｱﾗｰﾀ,5,1,愛知県
20,東海地域花き普及･振興協議会会長賞,木村昭宏,438064,ｽｷﾝﾀﾞﾌﾟｻｽ'ｵﾙﾓｽﾄｼﾙﾊﾞｰ',3.5,1,愛知県
21,愛知豊明花き流通協同組合理事長賞,加古邦博,555464,ｱﾝｽﾘｳﾑ A.'ﾊﾞﾝﾋﾞｰﾉﾚｯﾄﾞ',5,1,愛知県
22,日本植物運輸㈱社長賞,山本勲,437506,ﾓﾝｽﾃﾗ ﾃﾞﾘｼｵｻ(ﾎｳﾗｲｼｮｳ),99,1,愛知県
