特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
30,品評会大賞(愛知豊明花き流通(協)理事長賞),桑畑　新一,328632,PHAL ｱﾏﾋﾞﾘｽ (ｹﾞﾝｼｭ),10,1,宮崎県　
31,品評会準大賞,小林　慧,333977,ｼｸﾗﾒﾝ(ﾔｴ),6,2,長野県　
32,北海道知事賞,藤島　昇,334003,ｸﾘｽﾏｽﾛｰｽﾞ'HGC.ｼﾞｮｴﾙ',5,6,北海道　
33,福島県知事賞,渡部　雅幸,334537,ﾊﾎﾞﾀﾝ'ﾌﾟﾗﾁﾅｹｰﾙ',7,1,福島県　
34,群馬県知事賞,須藤　裕政,334179,ﾍﾞｺﾞﾆｱ E.'ｺｽﾓﾉｱ'(ｷｲﾛ),5,3,群馬県　
35,茨城県知事賞,藤枝　憲太,334868,ﾎﾟｲﾝ'ﾍﾟﾙﾌｨ ﾐﾗ'(ｼﾘｰｽﾞ),4,4,茨城県　
36,栃木県知事賞,福田　政一,334357,ｼｸﾗﾒﾝ'ｶﾝﾊﾟｰﾅ'(ｼﾘｰｽﾞ),6,1,栃木県　
37,埼玉県知事賞,塩原　茂夫,334299,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),5,3,埼玉県　
38,千葉県知事賞,高橋　照典,334672,ｼｸﾗﾒﾝ'Pﾌﾟﾘﾝｾｽ ﾚｯﾄﾞ',6,1,千葉県　
39,新潟県知事賞,豊島　徹,329908,ｵｵﾐﾏﾝﾘｮｳ,99,5,新潟県　
40,長野県知事賞,伊藤　洋一,333960,ｼｸﾗﾒﾝ'ﾊﾟｽﾃﾙ ｼｭﾄﾗｳｽ',6,1,長野県　
41,静岡県知事賞,西浦　弘之,335135,CYM ｺｳｼｭｳｻﾝｾｯﾄ'ｽﾃｲｺﾞｰﾙﾄﾞ,7,1,静岡県　
42,岡山県知事賞,中原　精一,330800,CYM ｴﾝｻﾞﾝｽﾌﾟﾘﾝｸﾞ'ﾊﾚﾙﾔ',6,2,岡山県　
43,徳島県知事賞,高尾　善蔵,333083,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',6,2,徳島県　
44,高知県知事賞,森尾　道正,329838,CYM ﾂｸﾓﾊﾟｰﾙ'ﾋﾟﾎﾟ',10,1,高知県　
45,福岡県知事賞,坂本　和盛,331621,ｼｸﾗﾒﾝ'ﾌﾟﾙﾏｰｼﾞｭ ｵﾚﾝｼﾞ',7,1,福岡県　
46,宮崎県知事賞,岩切　信一,328617,PHAL ﾋﾞｰﾅｽ,8,1,宮崎県　
47,北海道鉢花生産組合組合長賞,高橋　学,334016,ｼｸﾗﾒﾝ'ﾛｰｾﾞｽ ﾛｰｽﾞ',5,1,北海道　
48,福島県鉢花生産者協議会会長賞,貝沼　謙一,334560,ｼｸﾗﾒﾝ'ﾊﾟｽﾃﾙ ｼｭﾄﾗｳｽ',5,2,福島県　
49,群馬県園芸協会会長賞,峯崎　正春,334324,ﾐﾆｼｸﾗﾒﾝ'ﾌｪｱﾘｰﾋﾟｺ'(ｼﾘｰｽﾞ),6,2,群馬県　
50,茨城県花き園芸協会会長賞,市村　正義,334867,ﾎﾟｲﾝ'ｲﾁﾊﾞﾝ',5,3,茨城県　
51,(一社)とちぎ農産物ﾏｰｹﾃｨﾝｸﾞ協会会長賞,川村　一徳,334349,ｸﾘｽﾏｽﾛｰｽﾞ N.'ｳｨﾝﾀｰﾍﾞﾙ',5,6,栃木県　
52,埼玉県花き園芸組合連合会会長賞,萩原　幸一,334338,ﾎﾟｲﾝ'P.ﾎﾟｰﾗｰ'(ｼﾛ),10,1,埼玉県　
53,千葉県花き園芸組合連合会会長賞,小駒　守,334661,ｼｸﾗﾒﾝ'ﾊﾘｵｽ ﾌｧﾙﾊﾞﾗﾛｰｽﾞ',5,3,千葉県　
54,新潟県花木振興協議会会長賞,本間　正信,329818,ｱｻﾞﾚｱ'ﾋﾟﾝｸｽﾀｰ',4.5,8,新潟県　
55,長野県鉢花園芸組合長賞,清水　耕作,335569,CYM ｱﾝｼﾞｪﾘｺ'ｱﾆﾊﾞｰｻﾘｰﾙｰｼﾞ,8,1,長野県　
56,静岡県鉢物生産振興会会長賞,原口　厚子,334987,ｷﾞｮﾘｭｳﾊﾞｲ(ﾋﾟﾝｸ),4,11,静岡県　
57,とくしまの花振興協会会長賞,山田　昌治,327937,CYM ｴﾝｾﾞﾙﾁｬｰﾑ,6.5,2,徳島県　
58,福岡県花き園芸連合会会長賞,草場　利勝,332035,CYM 'ｲﾁｺﾞﾉｼｽﾞｸ',7.5,1,福岡県　
59,熊本県花き協会会長賞(アイデア賞),山本　利男,334955,DTPS ﾀｲﾀﾞﾊﾟｰﾙ,6,2,熊本県　
60,宮崎県花き生産者連合会会長賞,中原　信幸,328661,PHAL ﾐﾙｷｰﾗﾌﾞ,8,1,宮崎県　
61,(一社)日本花き卸売市場協会会長賞,吉岡　麗子,334308,ﾎﾟｲﾝｾﾁｱ,3,15,埼玉県　
62,(一財)日本花普及センター会長賞,関　博,331800,PHAL ﾕﾒｶ,8,1,山梨県　
63,(公社)園芸文化協会会長賞,菊池　武,334152,ｼｸﾗﾒﾝ'ﾋﾗﾘ ｱｶﾌﾞﾄﾞｳ',6,1,岩手県　
64,愛知園芸商組合理事長賞,石川　英司,334330,ｼｸﾗﾒﾝ'ｱﾎﾟﾛ'(ｼﾘｰｽﾞ),5,3,群馬県　
65,日本ハンギングバスケット協会理事長賞,丸山　盛芳,335585,CYM 'ｱｲｺｻﾏ',6.5,2,長野県　
66,ＮＨＫ出版賞,青木　泰十郎,335666,CYM 'ｱｲｺｻﾏ',7,2,長野県　
67,東海地域花き普及･振興協議会会長賞,公文　幸一,329808,CYM ﾐﾙｷｰｸｲｰﾝ'ｳｲﾝﾀｰﾜﾙﾂ',7,1,高知県　
68,豊成会会長賞,登坂　初夫,334201,ｱｯｻﾑﾆｵｲｻﾞｸﾗ'ｺｺ',5,5,群馬県　
69,豊和会会長賞,窪田　朝正,329145,CYM 'ﾊﾅﾂﾑｷﾞ',5,3,山梨県　
70,豊明花き(株)社長賞,石田　力,327528,CYM ﾕﾒﾀﾏｺﾞ,5,5,高知県　
71,日本植物運輸(株)社長賞,大久保　三男,334876,ﾎﾟｲﾝ'ｲﾁﾊﾞﾝ',5,3,茨城県　
101,努力賞,平野　勝則,334655,ｸﾌﾟﾚｯｻｽ'ｺﾞｰﾙﾄﾞｸﾚｽﾄ',9,1,千葉県　
102,アイデア賞,中川　圭太,334975,PHAL ﾚｯﾄﾞﾀﾞｲﾔﾓﾝﾄﾞ,99,5,熊本県　
