特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,品評会大賞(愛知豊明花き流通(協)理事長賞),高橋　学,115428,ﾐﾆｼｸ'ｼﾞｯｸｽ ﾋﾟﾝｸ',5,1,北海道
2,品評会準大賞,須藤　裕政,115017,ﾍﾞｺﾞﾆｱ E.(ﾔｴ),4.5,1,群馬県
3,北海道知事賞,藤島　昇,115311,ｸﾘｽﾏｽﾛｰｽﾞ'HGC.ﾏｰﾛﾝ',5,1,北海道
4,福島県知事賞,高玉　恵治,115687,ﾐﾆｼｸ'ｽｰﾊﾟｰｼﾞｯｸｽ'(ｼﾘｰｽﾞ),4,1,福島県
5,群馬県知事賞,中里　寛,115144,ｼｸﾗﾒﾝ'ｼｭｰﾍﾞﾙﾄ'(ﾋﾟﾝｸ),6,1,群馬県
6,茨城県知事賞,市村　正義,115477,ﾎﾟｲﾝ'ﾌﾟﾘﾒｰﾛ ﾚｯﾄﾞ',6,1,茨城県
7,栃木県知事賞,谷澤　清三,114987,ﾐﾆｼｸ'ｽｰﾊﾟｰｸﾚﾖﾝ'(ｼﾘｰｽﾞ),4,1,栃木県
8,埼玉県知事賞,田島　嶽,115208,ﾐﾆｼｸﾗﾒﾝ,2.5,1,埼玉県
9,千葉県知事賞,高橋　康弘,115627,ｼｸﾗﾒﾝ'ｻﾑﾗｲ'(ｼﾘｰｽﾞ),4,1,千葉県
10,新潟県知事賞,本間　基紀,113617,ｱｻﾞﾚｱ'ﾛｻﾞﾘｰ',5,1,新潟県
11,長野県知事賞,宮澤　健一,116533,ﾐﾆｼｸ'ﾏｯﾁｬﾗﾃ'(ﾔｴ),6,1,長野県
12,静岡県知事賞,服部　拓哉,116310,ﾕｰﾌｫﾙﾋﾞｱ L.'ｼﾗﾕｷﾋﾒ',4,1,静岡県
13,徳島県知事賞,一楽　正義,114865,CYM ﾌｧﾝﾀｽﾃｨｯｸｶﾞｰﾙ'ﾘﾝﾀﾞ',6.5,1,徳島県
