特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
20,品評会大賞(愛知豊明花き流通協同組合理事長賞),村松　厚一,218870,ｳﾝﾅﾝｼｭﾛﾁｸ,13,1,静岡県
21,品評会準大賞,加藤　升雄,219117,ﾎﾟﾄｽ'ﾗｲﾑ',10,1,静岡県
22,静岡県知事賞,片岡　豊,218820,ﾎﾟﾄｽ'ｽﾃｰﾀｽ',7,1,静岡県
23,千葉県知事賞,平野　勝則,218398,ﾚｯｸｽﾍﾞｺﾞﾆｱ'ﾋﾞﾘｰﾌ'(ｼﾘｰｽﾞ),4,8,千葉県
24,鹿児島県知事賞,小村　幸一,213579,ﾄﾞﾗｾﾅ F.'ﾏｯｻﾝｹﾞｱｰﾅ',10,1,鹿児島県
25,沖縄県知事賞,天久　学,214675,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,7,1,沖縄県
26,指宿市長賞,柚木崎　健史,214127,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',8,1,鹿児島県
27,静岡県鉢物生産振興会会長賞,鴨川　和弘,219563,ｱﾝｽﾘｳﾑ ﾌｰｹﾘｰ,7,2,静岡県
28,千葉県花き園芸組合連合会会長賞,古川　定男,218405,ﾓﾝｽﾃﾗ,8,1,千葉県
29,鹿児島県花き振興会会長賞,広森　博昭,214072,ｱｽﾌﾟﾚﾆｳﾑ N.'ｸﾘｰｼｰ',7,1,鹿児島県
30,沖縄県花き園芸協会会長賞,當山　安寿,214693,ﾄﾞﾗｾﾅ R.'ｿﾝｸﾞｵﾌﾞｲﾝﾃﾞｨｱ',10,1,沖縄県
31,（一社）日本花き卸売市場協会会長賞,木村　猛,218316,ｱｶﾞﾍﾞ,6,4,埼玉県
32,（一財）日本花普及センター会長賞,島袋　勤,214611,ﾌｨｶｽ E.'ﾊﾞｰｶﾞﾝﾃﾞｨ',8,1,沖縄県
33,(公社)園芸文化協会会長賞,大杉　芳克,213933,ｶﾝﾖｳ,3.5,12,静岡県
34,愛知園芸商組合理事長賞,向井　幸夫,214298,ｶﾝﾉﾝﾁｸ,10,1,鹿児島県
35,ＮＨＫ出版賞,新井　保,218317,ｸﾞﾘｰﾝｱﾗﾚｱ,10,1,埼玉県
36,屋内緑化推進協議会会長賞（アイデア賞）,深田　敏男,218331,ｾﾈｼｵ ｸﾚｲﾆｱ(ﾓﾝｷｰﾂﾘｰ),7,1,埼玉県
37,東海地域花き普及・振興協議会会長賞,田中　良枝,213522,ﾄﾞﾗｾﾅ R.(ﾘﾌﾚｸｻ),12,1,鹿児島県
55,豊成会会長賞,仲村　智昌,214680,ﾌﾞﾗｯｻｲｱ(ｼｪﾌﾚﾗ ｱｸﾃｨﾉﾌｨﾗ),13,1,沖縄県
56,豊和会会長賞,伊藤　眞人,218803,ｻﾎﾞﾃﾝ,2.5,40,静岡県
57,豊明花き（株）社長賞,渡辺　隆司,220636,ｸﾛﾎｳｼ,3.5,15,静岡県
58,日本植物運輸（株）社長賞,武　繁,218794,ｾﾗｷﾞﾈﾗ,3,12,静岡県
100,奨励賞,岡田　将司,212895,ｵﾘｰﾌﾞ,7,1,香川県
