特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,河合　康之,109781,ｱﾝｽﾘｳﾑ A.'ｱﾏﾘｱｴﾚｶﾞﾝｽ',6,,愛知県　
2,生産局長賞,荒木　敏美,109678,ｶﾗﾃｱ'ﾄﾞｯﾃｨｰ',7,,愛知県　
3,東海農政局長賞,伊藤　敏広,110411,ﾎﾟﾄｽ,10,,三重県　
4,愛知県知事賞（豊明花き㈱社長賞）,鈴木　正吉,109955,ﾌｨｶｽ B.'ｽﾀｰﾗｲﾄBｸｲｰﾝ',7,,愛知県　
5,岐阜県知事賞(豊成会会長賞),川瀬　良樹,110932,ｾﾀﾞﾑ,5,,岐阜県　
6,三重県知事賞(豊和会会長賞),舘　誠,110408,ｵｵﾀﾆﾜﾀﾘ,6,,三重県　
7,名古屋市長賞,山本　勲,110574,ﾀｺﾉｷ,7,,愛知県　
8,豊明市長賞,石川　孝治,109928,ﾍﾟﾍﾟﾛﾐｱ ｶﾍﾟﾗｰﾀ'ﾛｯｿ',4,,愛知県　
9,愛知県花き温室園芸組合連合会会長賞,皿井　昌幸,109752,ｱﾝｽﾘｳﾑ A.'ﾚｲﾝﾎﾞｰﾁｬﾝﾋﾟｵﾝ',6,,愛知県　
10,岐阜県園芸特産振興会会長賞,高木　兼雄,107370,ﾄﾞﾗｾﾅ G.'ﾌﾛﾘﾀﾞﾋﾞｭｰﾃｨｰ',6,,岐阜県　
11,三重県花植木振興会会長賞,三田　久憲,110459,ﾎﾟﾘﾎﾟｼﾞｳﾑ A.'ﾌﾞﾙｰｽﾀｰ',6,,三重県　
12,NHK名古屋放送局長賞,近藤　雄三,109912,ﾌﾘｰｾｱ,3.5,,愛知県　
13,愛知県経済農業協同組合連合会会長賞 (アイデア賞),高木　勝美,109949,ﾈﾍﾟﾝﾃｽ ｱﾗｰﾀ,5,,愛知県　
14,豊明市商工会会長賞,高橋　成治,109937,ｸﾛﾎｳｼ'ｻﾝｼﾓﾝ',6,,愛知県　
15,(公社)園芸文化協会会長賞,長島　昭彦,109971,ﾃﾞﾍﾝﾊﾞｷｱ'ｶﾐｰﾗ',6,,愛知県　
16,屋内緑化推進協議会会長賞,榊原　武,110322,ｱﾛｶｼｱ'ﾊﾞﾝﾋﾞｰﾉ',5,,愛知県　
17,ＮＨＫ出版賞,山口　博良,109640,ｶﾗﾝｺｴ'ﾃﾞｻﾞｰﾄﾛｰｽﾞ',3.5,,愛知県　
18,東海地域花き普及・振興協議会会長賞,荒木　英雄,109641,ｸﾙｼｱ ﾛｾﾞｱ'ﾌﾟﾘﾝｾｽ',6,,愛知県　
53,日本植物運輸（株）社長賞,花井　充,110126,ｸﾞｽﾞﾏﾆｱ,6,,愛知県　
54,愛知豊明花き流通協同組合理事長賞,加藤　智康,109960,ﾎﾟﾄｽ,7,,愛知県　
