特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
20,品評会大賞(愛知豊明花き流通協同組合理事長賞),天久　学,104180,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,7,,沖縄県　
21,品評会準大賞,當山　安寿,104192,ﾄﾞﾗｾﾅ C.'ﾎﾜｲﾎﾞﾘｰ',10,,沖縄県　
22,静岡県知事賞,片岡　豊,112062,ﾎﾟﾄｽ,10,,静岡県　
23,千葉県知事賞,高橋　繁之,110255,ﾌｨｶｽ ﾘﾗｰﾀ(ｶｼﾜﾊﾞｺﾞﾑ),10,,千葉県　
24,鹿児島県知事賞,田原迫　正一,105765,ｱﾚｶﾔｼ,10,,鹿児島県
25,沖縄県知事賞,登川　良雄,104341,ﾃﾞｨｼﾞｺﾞﾃｶ(ｱﾗﾚｱ),8,,沖縄県　
26,指宿市長賞,千田　智章,105890,ｼﾏﾄﾈﾘｺ,8,,鹿児島県
27,（一社）日本花き卸売市場協会会長賞,園部　健一,109807,ﾄﾞﾗｾﾅ C.'ｽｶｰﾚｯﾄｱｲﾋﾞｽ',8,,茨城県　
28,（一財）日本花普及センター会長賞,小村　幸一,105752,ﾕｯｶ ｴﾚﾌｧﾝﾃｨﾍﾟｽ(ﾌｲﾘ),8,,鹿児島県
29,愛知園芸商組合理事長賞,福留　健一,105833,ﾌﾄﾓﾓ(ｼｼﾞｷﾞｳﾑ),10,,鹿児島県
30,静岡県鉢物生産振興会会長賞,大庭　孝之,110600,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,7,,静岡県　
31,千葉県花き園芸組合連合会会長賞,林　健一郎,109777,ｸﾞｽﾞﾏﾆｱ(ｱｶ),7,,千葉県　
32,鹿児島県花き振興会会長賞,中道　博文,105760,ﾓﾝｽﾃﾗ,8,,鹿児島県
33,沖縄県花き園芸協会会長賞,島袋　勤,104163,ﾄﾞﾗｾﾅ C.'ﾎﾜｲﾎﾞﾘｰ',8,,沖縄県　
34,(公社)園芸文化協会会長賞,柚木崎　健史,105856,ｼｪﾌﾚﾗ A.'ﾎﾝｺﾝ',10,,鹿児島県
35,屋内緑化推進協議会会長賞,比嘉　勝夫,104345,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),8,,沖縄県　
36,ＮＨＫ出版賞,漢那　清奉,104340,ﾄﾞﾗｾﾅ D.'ｺﾝﾊﾟｸﾀ',8,,沖縄県　
37,東海地域花き普及・振興協議会会長賞,大杉　芳克,110604,ｻﾝｾﾍﾞﾘｱ'ﾌｧｰﾝｳｯﾄﾞ',3.5,,静岡県　
50,(株)花卉園芸新聞社賞 (アイデア賞),斎藤　寿治,111381,ｾﾀﾞﾑ,5,,京都府　
51,(株)誠文堂新光社「農耕と園芸」賞,新井　保,109708,ｸﾞﾘｰﾝｱﾗﾚｱ,7,,埼玉県　
52,(株)草土出版賞,広森　博昭,105804,ｽﾄﾚﾘﾁｱ ｵｰｶﾞｽﾀ,10,,鹿児島県
55,豊成会会長賞,田中　良枝,105018,ｻﾝｾﾍﾞﾘｱ'ﾃﾞｻﾞﾙﾃｨｰ',7,,鹿児島県
56,豊和会会長賞,吉住　惣一,109788,ｸﾞｽﾞﾏﾆｱ ﾏｸﾞﾆﾋｶ,2.5,,埼玉県　
57,豊明花き（株）社長賞,上野　徴,110080,ｶﾝﾖｳﾖｾ,10,,愛媛県　
58,日本植物運輸（株）社長賞,古橋　勝也,112054,ﾍﾃﾞﾗ ﾍﾘｯｸｽ,10,,静岡県　
