特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
30,品評会大賞(愛知豊明花き流通(協)理事長賞),高橋　照典,391485,ﾐﾆｼｸ'ｻﾑﾗｲ#1',5,2,千葉県
31,品評会準大賞,鈴木　龍夫,388659,V ﾊﾟｯｼｮﾝﾌﾞﾙｰ,7.5,2,滋賀県
32,北海道知事賞(アイデア賞),高橋　学,392001,ｼｸﾗﾒﾝ'ﾋﾟｴｰﾉ',5,1,北海道
33,福島県知事賞,洪　南基,391625,ｼｸﾗﾒﾝ'ﾋﾗﾘ ﾓﾓ',5,3,福島県
34,群馬県知事賞,石川　英司,391863,ﾐﾆｼｸﾗﾒﾝ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3.5,12,群馬県
35,茨城県知事賞,佐藤　又エ門,392078,ﾎﾟｲﾝ'ﾍﾟﾙﾌｨ ﾏｰｽ'(ｼﾘｰｽﾞ),6,2,茨城県
36,栃木県知事賞,谷澤　明子,391419,ｼｸﾗﾒﾝ,6,1,栃木県
37,埼玉県知事賞,森田　健一朗,393222,PHAL ｸﾞﾘｰﾝｱｰｽ,99,1,埼玉県
38,千葉県知事賞,椎名　正剛,385279,DTPS 'ｵｰﾛﾗ',4,5,千葉県
39,新潟県知事賞,笹川　隆,392318,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),8,1,新潟県
40,長野県知事賞,青木　秀行,393343,CYM ｱﾝｼﾞｪﾘｺ'ｱﾆﾊﾞｰｻﾘｰﾙｰｼﾞ,7,1,長野県
41,静岡県知事賞,西浦　弘之,389712,CYM ﾋﾞﾋﾞｱﾝ,7,1,静岡県
42,岡山県知事賞,松下　幸夫,388035,CYM ﾐﾆｻﾗｰ'ﾎﾜｲﾄﾌｫｰﾙｽﾞ',7,1,岡山県
43,徳島県知事賞,作本　達利,389297,CYM 'ｲﾁｺﾞﾉｼｽﾞｸ',6,2,徳島県
44,高知県知事賞,石田　力,387115,CYM ﾁｪﾘｰﾋﾟｱｽ,5,5,高知県
45,福岡県知事賞,坂本　和盛,390084,ｼｸﾗﾒﾝ,7,1,福岡県
46,宮崎県知事賞,中原　勇二,386875,PHAL 'ﾜｰﾑ',10,1,宮崎県
47,北海道鉢花生産組合組合長賞,築城　正勝,391904,ﾁｪｯｶｰﾍﾞﾘｰ(G.ﾌﾟﾛｸﾝﾍﾞﾝｽ),4,11,北海道
48,福島県鉢花生産者協議会会長賞,根本　修二,391653,ﾐﾆｼｸ'ｺﾞﾌﾞﾚｯﾄ',5,4,福島県
49,群馬県園芸協会会長賞,中里　寛,391861,ｼｸﾗﾒﾝ'ﾄﾞﾘｰﾑ ﾊﾟｰﾌﾟﾙ',6,1,群馬県
50,茨城県花き園芸協会会長賞,小波　輝昌,392094,ｸﾚﾏﾁｽ ｱﾝｽﾝｴﾝｼｽ,10,1,茨城県
51,(一社)とちぎ農産物ﾏｰｹﾃｨﾝｸﾞ協会会長賞,福田　一郎,391420,ｼｸﾗﾒﾝ'ﾊﾟｽﾃﾙ ｼｭﾄﾗｳｽ',6,1,栃木県
52,埼玉県花き園芸組合連合会会長賞,萩原　幸一,391614,ﾎﾟｲﾝ'ﾏｷｼﾏﾚｯﾄﾞ',10,1,埼玉県
53,千葉県花き園芸組合連合会会長賞,山岸　正明,391470,ｼｸﾗﾒﾝ'ﾋﾞｸﾄﾘｱ',6,1,千葉県
54,新潟県花木振興協議会会長賞,豊島　徹,388939,ｱﾙﾃﾞｨｼｱ ﾏﾐﾗｰﾀ,4,8,新潟県
55,長野県鉢花園芸組合長賞,青木　泰十郎,393349,CYM 'ﾂｷｿﾞﾗ',7,2,長野県
56,静岡県鉢物生産振興会会長賞,西山　由紀浩,394419,ﾍﾞﾛﾍﾟﾛﾈ'ｴｳﾞｨｰﾅ',4,15,静岡県
57,とくしまの花振興協会会長賞,一楽　正義,389333,CYM 'ﾌｸｦﾖﾌﾞｵﾋﾒｻﾏ',7,2,徳島県
58,福岡県花き園芸連合会会長賞,草場　利勝,390671,CYM 'ｲﾄﾉｼﾝﾋﾟ',7,1,福岡県
59,熊本県花き協会会長賞,山本　利男,389640,DTPS 'ﾏﾝﾃﾝｺｳ',6,2,熊本県
60,宮崎県花き生産者連合会会長賞,桑畑　新一,386981,PHAL ｸﾞﾛｰｲﾝｸﾞ,9,1,宮崎県
61,(一社)日本花き卸売市場協会会長賞,友時　光廣,389335,CYM ﾋﾞﾋﾞｱﾝ,7,1,香川県
62,(一財)日本花普及センター会長賞,西川　正美,389314,CYM ﾐﾙｷｰｸｲｰﾝ'ﾌﾟﾛﾑﾅｰﾄﾞ',8,1,香川県
63,愛知園芸商組合理事長賞,青木　健,392920,ｼｸﾗﾒﾝ'ﾚｼﾞｰﾅ'(ｼﾘｰｽﾞ),6,2,長野県
64,(公社)園芸文化協会会長賞,清水　耕作,393399,CYM ﾐﾙｷｰｸｲｰﾝ'ﾌﾟﾛﾑﾅｰﾄﾞ',8,1,長野県
65,(一社)日本ハンギングバスケット協会理事長賞,竹原　栄一,391411,ｼｸﾗﾒﾝ'ﾋﾟｱｽ',6,1,栃木県
66,ＮＨＫ出版賞,吉原　一成,391437,ｼｸﾗﾒﾝ,6,1,栃木県
67,東海地域花き普及･振興協議会会長賞,立光　一孝,390123,DENP ﾁｪﾘｰｿﾝｸﾞ,10,1,長崎県
68,豊成会会長賞,川村　一徳,391435,ｸﾘｽﾏｽﾛｰｽﾞ'HGC.ﾊﾟｳﾛ',5,6,栃木県
69,豊和会会長賞,田澤　清,392759,ﾐﾆｼｸﾗﾒﾝ'ﾁﾓ'(ﾔｴ),5,1,長野県
70,豊明花き(株)社長賞,宇戸平　庄一郎,393190,DTPS ﾕｳｺｽﾏｲﾙ,10,1,栃木県
71,日本植物運輸(株)社長賞,峯崎　宏之,391820,ｼｸﾗﾒﾝ'ﾋﾞｸﾄﾘｱ',6,1,群馬県
72,(株)花卉園芸新聞社賞,中原　常和,386977,PHAL 'ｱﾗｲｴﾝｽ',8,1,宮崎県
