特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(その他の花苗の部賞),新井　正芳（ＪＡほくさい）,109648,Gｶｰﾈ'ｴｽﾀ',3.5,15,埼玉県　
2,東海農政局長賞(1・2年草の部),梅村　庄治,110586,ﾏﾘｰｺﾞｰﾙﾄﾞ,2.5,24,愛知県　
3,愛知県知事賞,大岩　嘉治,110137,ﾀﾞｲｱﾝｻｽ'ｼﾁﾍﾝｹﾞ',3,24,愛知県　
4,岐阜県知事賞(観葉植物・観賞樹・その他の部),金子　勝哉,111020,ﾋﾒﾂﾙﾆﾁﾆﾁｿｳ'ｲﾙﾐﾈｰｼｮﾝ',2.5,24,岐阜県　
5,三重県知事賞,桐生　悦夫,110480,ｵｽﾃｵ'ｾﾚﾆﾃｨ'(ｼﾘｰｽﾞ),3,15,三重県　
6,静岡県知事賞,大石　建也,112007,ﾎﾟｯﾄﾌﾞｰｹ(ｾﾛｼｱ･ｶｽﾐｿｳ),3.5,24,静岡県　
7,埼玉県知事賞,萩原　豊（ＪＡほくさい）,109703,ﾗﾍﾞﾝﾀﾞｰ S.'ﾜﾀﾎﾞｳｼ',3.5,15,埼玉県　
8,名古屋市長賞(多年草の部),村松　正人,111074,ﾚｳｲｼｱ,2.5,12,愛知県　
9,豊明市長賞,榊原　盛栄,110018,ﾍﾟﾗﾙｺﾞ'ｸﾞﾗﾝﾊﾟｯｿ ﾎﾞﾙﾄﾞｰ',3.5,20,愛知県　
10,愛知県花き温室園芸組合連合会会長賞,鈴木　寿久,110361,ﾍﾟﾁｭﾆｱ,3.5,20,愛知県　
11,岐阜県園芸特産振興会会長賞,白木　義弘,110935,ﾌﾗﾝﾈﾙﾌﾗﾜｰ'ﾌｪｱﾘｰﾎﾜｲﾄ',3.5,15,岐阜県　
12,三重県花植木振興会会長賞,伊藤　好博,109996,ﾍﾞﾋﾞｰｽﾞﾃｱｰｽﾞ,3,28,三重県　
13,静岡県鉢物生産振興会会長賞,服部　一夫,110629,ﾕｰﾌｫﾙﾋﾞｱ'ﾁｮｺﾘｰﾌ',3.5,15,静岡県　
14,埼玉県花き園芸組合連合会会長賞,川上　竜一,109792,ﾍﾟﾁｭﾆｱ'ﾃﾝｼﾉｸﾁﾂﾞｹ',3.5,20,埼玉県　
15,(公社)園芸文化協会会長賞,高橋　大作,110246,ｲﾍﾞﾘｽ(ｷｬﾝﾃﾞｨﾀﾌﾄ),2.5,24,栃木県　
16,ＮＨＫ名古屋放送局長賞,谷井　敬一郎,109864,ﾋﾒｵﾀﾞﾏｷ,2.5,40,兵庫県　
17,ＮＨＫ出版賞,竹内　康久,109882,ﾌﾞﾗｷｶﾑ'ﾌﾞﾗｽｺﾊﾞｲｵﾚｯﾄ',3,24,兵庫県　
18,(株)花卉園芸新聞社賞,手嶋　一郎,111717,ｷｭｳｺﾝﾍﾞｺﾞ'ｷﾀﾉｱｶﾘ',3.5,15,宮城県　
19,(株)草土出版賞,林　康夫,109733,ﾀﾂﾅﾐｿｳ(ｽｸﾃﾗﾘｱ I.),2.5,24,群馬県　
20,(株)誠文堂新光社「農耕と園芸」賞,谷澤　明子,109787,ﾂﾎﾞｻﾝｺﾞ(ﾎｲﾍﾗ),3.5,24,栃木県　
21,(株)ナカヤマ賞,フラワーガーデン　戸谷,109951,ﾋﾎﾟｴｽﾃｽ,2.5,24,愛知県　
22,フォルツァ(株)賞,磯部　信満,110165,ｶﾗｰﾘｰﾌ,2.5,24,愛知県　
23,丸種絵袋(株)賞,増田　佳紀,109877,ﾌﾞｰｹﾞﾝﾋﾞﾚｱ,3.5,15,兵庫県　
24,(一社)日本ハンギングバスケット協会理事長賞,川村　一徳,109785,ｶﾘﾌﾞﾗｺｱ'ﾃｨﾌｫｼｰ ﾀﾞﾌﾞﾙ',3.5,24,栃木県　
25,日本ガーデンデザイナー協会会長賞,三井　優生,109881,ｱﾙﾃﾙﾅﾝｾﾗ ﾏｳﾅｹｱ,3,24,兵庫県　
26,豊明市商工会会長賞,磯部　和之,110127,ｽｸﾃﾗﾘｱ'ﾌﾞﾙｰﾌｧｲﾔｰ',3.5,20,愛知県　
27,東海地域花き普及・振興協議会会長賞,横井　三千雄,110291,ﾍﾟﾁｭﾆｱ'E.ﾗﾍﾞﾝﾀﾞｰﾋﾟﾝｸ',3,24,愛知県　
28,愛知豊明花き流通協同組合理事長賞,渡辺　宏修,110710,ﾕｰｶﾘ ｸﾞﾆｰ,3.5,15,愛知県　
29,豊成会会長賞,牛窪　弘樹（ＪＡいるま野）,109642,ﾏﾘｰｺﾞｰﾙﾄﾞ'ﾎﾞﾅﾝｻﾞ',3.5,24,埼玉県　
30,豊和会会長賞,井口　繁利,110258,ｻｸﾗｲﾛｶﾘｯｼｱ,3.5,15,千葉県　
31,豊明花き(株)社長賞,山内　哲也,109940,ﾘﾑﾅﾝﾃｽ,3,28,愛知県　
32,日本植物運輸(株)社長賞,服部　晃治,110301,ｶﾞｰﾍﾞﾗ(ﾐﾆ),3.5,15,愛知県　
