特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産省農産局長賞(品評会大賞)(花の部賞),安田秀幸,547810,ﾍﾟﾁｭﾆｱ'ﾎｲｯﾌﾟﾏｶﾛﾝ'(ｼﾘｰｽﾞ),3.5,1,埼玉県
2,東海農政局長賞,西山正一,437377,ﾂﾎﾞｻﾝｺﾞ(ﾎｲﾍﾗ),3.5,1,愛知県
3,愛知県知事賞(観葉・観賞樹・その他賞),渡辺宏修,437371,ｱｶｼｱ,3.5,1,愛知県
4,岐阜県知事賞,吉田一憲,437472,ｶﾞｰﾍﾞﾗ(ﾐﾆ),3,1,岐阜県
5,三重県知事賞,桐生悦夫,547804,ｵｽﾃｵ'ｾﾚﾆﾃｨ ﾛｼﾞｰﾀ',3.5,1,三重県
6,静岡県知事賞,田村茂,437221,ﾐﾝﾄ,3.5,1,静岡県
7,埼玉県知事賞,内田浩伸,436634,ﾀﾞﾘｱ'ﾗﾍﾞﾗﾒﾃﾞｨｵ'(ｼﾘｰｽﾞ),4,1,埼玉県
8,名古屋市長賞,山口俊樹,437502,ﾍﾟﾁｭﾆｱ'WC.ｵｰｷｯﾄﾞﾐｽﾄ',3.5,1,愛知県
9,豊明市長賞,梅村庄治,438204,ﾏﾘｰｺﾞｰﾙﾄﾞ'ﾏﾘｰﾁｬﾝ',2.5,1,愛知県
10,愛知県花き温室園芸組合連合会長賞,半田裕己,556045,ｶﾞｻﾞﾆｱ'ｼﾙﾊﾞｰﾌｫｯｸｽ',3.5,1,愛知県
11,岐阜県園芸特産振興会長賞,戸崎明,437158,ﾌﾗﾝﾈﾙﾌﾗﾜｰ'ﾃﾝｼﾉｳｨﾝｸ',3.5,1,岐阜県
12,三重県花植木振興会長賞,里邨守彦,436681,ｶﾞｸｱｼﾞ'ﾐｽﾞﾅｷﾞﾄﾞﾘ',3,1,三重県
13,静岡県鉢物生産振興会長賞,村田紀之,438403,ﾛｰﾀﾞﾝｾﾏﾑ'SAY(ｾｲ)',3.5,1,静岡県
14,埼玉県花き園芸組合連合会長賞,田島嶽,547712,ｾﾞﾗﾆｳﾑ'ﾎﾗｲｽﾞﾝｼｬﾄﾞｰ'(ｼﾘｰｽ,3.5,1,埼玉県
15,(公社)園芸文化協会長賞,高橋幹生,436608,ﾐﾔｺﾜｽﾚ'ｴﾄﾞﾑﾗｻｷ',3.5,1,栃木県
16,NHK名古屋放送局長賞,飯塚和彦,547700,ﾎｸｼｱ'ﾙｰｼﾞｭﾌﾞﾗﾝ'(ｱｶｼﾛ),2.5,1,埼玉県
17,NHK出版賞,谷澤正勝,436302,ﾏﾘｰｺﾞｰﾙﾄﾞ,3.5,1,神奈川県
18,㈱花卉園芸新聞社賞,新井正芳（ＪＡほくさい）,436585,ｶｰﾈｰｼｮﾝ'ｱｲﾗﾌﾞﾕｰ',3.5,1,埼玉県
19,㈱誠文堂新光社｢農耕と園芸｣賞,鈴木隆,434997,ｶﾝﾊﾟﾆｭﾗ'ﾗｲｸﾐｰ ﾎﾜｲﾄﾗｲｸﾐｰ',3.5,1,茨城県
20,㈱ﾅｶﾔﾏ賞,小河原正純（ＪＡほくさい）,436598,ｱﾙﾒﾘｱ'ﾋﾞｰｽﾞﾙﾋﾞｰ',3.5,1,埼玉県
21,ﾌｫﾙﾂｧ㈱賞,川村一徳,436582,ｶﾘﾌﾞﾗｺｱ'ﾃｨﾌｫｼｰｱﾝﾃｨｰｸ'(ｼﾘ,3.5,1,栃木県
22,丸種絵袋㈱賞,落合敬一,436683,ｲﾍﾞﾘｽ'ｴﾝｼﾞｪﾙﾍﾞｰﾙ',3.5,1,埼玉県
23,(一社)日本ﾊﾝｷﾞﾝｸﾞﾊﾞｽｹｯﾄ協会理事長賞,後藤直也,553433,ﾘﾅﾘｱ A.(ﾘｯﾌﾟﾙｽﾄｰﾝ),3.5,1,静岡県
24,(一社)日本ｶﾞｰﾃﾞﾝﾃﾞｻﾞｲﾅｰ協会長賞,樋田幸正,553983,ｶﾞｳﾗ'ｺﾍﾞﾆ',2.5,1,愛知県
25,豊明市商工会長賞,鈴木寿久,557153,ﾌﾛｯｸｽ,3,1,愛知県
26,東海地域花き普及・振興協議会長賞,谷澤清三,436636,ﾂﾘｰｼﾞｬｰﾏﾝﾀﾞｰ'ｱｲｽｷｭｰﾌﾞ',3,1,栃木県
27,愛知豊明花き流通協同組合理事長賞,平井一広,438182,ﾍﾟﾁｭﾆｱ'VD.ﾊﾞｲｵﾚｯﾄﾍﾞｲﾝ',3.5,1,奈良県
28,豊成会会長賞,大竹敏幸,556695,ﾏｰｶﾞﾚｯﾄ'M.ﾐﾆﾋﾟﾝｸ',3.5,1,愛知県
29,豊和会会長賞,小波輝昌,435041,ｸﾚﾏﾁｽ ｶｰﾄﾏﾆｰ'ｼﾞｮｰ',4.5,1,茨城県
30,豊明花き㈱社長賞,光菅豊,547677,ｷﾝｷﾞｮｿｳ'ﾌｫﾚｽﾄﾏﾘｱｰｼﾞｭ'(ﾌｲ,3,1,栃木県
31,日本植物運輸㈱社長賞,久保純（ＪＡほくさい）,547721,ﾗﾍﾞﾝﾀﾞｰ S.'ﾌﾟﾘﾏﾍﾞｰﾗ',3,1,埼玉県
