特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
20,品評会大賞(愛知豊明花き流通協同組合理事長賞),島袋　勤,366565,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),10,1,沖縄県
21,品評会準大賞,天久　学,366604,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,8,1,沖縄県
22,静岡県知事賞,村松　厚一,372284,ｶﾝﾉﾝﾁｸ'ｱﾔﾆｼｷ',7,1,静岡県
23,千葉県知事賞,平野　勝則,371600,ﾚｯｸｽﾍﾞｺﾞﾆｱ'ﾋﾞﾘｰﾌ'(ｼﾘｰｽﾞ),6,2,千葉県
24,福岡県知事賞,久保山　宣夫,374484,ｶﾝﾖｳﾖｾ,9,1,福岡県
25,鹿児島県知事賞,中道　博文,366735,ｽﾄﾚﾘﾁｱ ｵｰｶﾞｽﾀ,8,1,鹿児島県
26,沖縄県知事賞,玉栄　朗,366700,ｶﾞｰﾃﾞﾝﾎﾟﾘｼｬｽ,8,1,沖縄県
27,指宿市長賞,田中　良枝,366749,ｻﾝｾﾍﾞﾘｱ'ﾌｧｰﾝｳｯﾄﾞ',10,1,鹿児島県
28,静岡県鉢物生産振興会会長賞,伊藤　孝久,372681,ﾀﾆｸｼｮｸﾌﾞﾂ,2,54,静岡県
29,千葉県花き園芸組合連合会会長賞,林　健一郎,371602,ｸﾞｽﾞﾏﾆｱ'ｵｽﾀﾗ',10,1,千葉県
30,福岡県花き園芸連合会会長賞,杉本　佑貴,374310,ｱｽﾌﾟﾚﾆｳﾑ N.'ｴﾒﾗﾙﾄﾞｳｴｰﾌﾞ',5,8,福岡県
31,鹿児島県花き振興会会長賞,柚木崎　健史,366777,ｼｪﾌﾚﾗ A.'ﾎﾝｺﾝ ﾌｲﾘ',10,1,鹿児島県
32,沖縄県花き園芸協会会長賞,比嘉　久,366687,ﾌﾞﾗｯｻｲｱ(ｼｪﾌﾚﾗ ｱｸﾃｨﾉﾌｨﾗ),10,1,沖縄県
33,（一社）日本花き卸売市場協会会長賞,天久　斉,366668,ﾌｨｶｽ I.'ｱﾑｽﾃﾙﾀﾞﾑｷﾝｸﾞ',10,1,沖縄県
34,（財）日本花普及センター会長賞,大杉　芳克,372622,ﾊﾟｷﾗ ｱｸｱﾃｨｶ,10,1,静岡県
35,NPO法人 観葉植物開発普及協会会長賞,仲村　智昌,366608,ﾌﾞﾗｯｻｲｱ(ｼｪﾌﾚﾗ ｱｸﾃｨﾉﾌｨﾗ),10,1,沖縄県
36,(社)園芸文化協会会長賞,片岡　豊,372282,ｺｳﾓﾘﾗﾝ(ﾌﾟﾗﾃｨｾﾘｳﾑ ｱﾙｼｺﾙﾈ),3,8,静岡県
37,ＮＨＫ出版賞,西山　由紀浩,371468,ﾐﾐｶｷｸﾞｻ,3,15,静岡県
38,愛知園芸商組合理事長賞,玉那覇　栄,369392,ﾄﾞﾗｾﾅ D.'ｺﾝﾊﾟｸﾀ',10,1,沖縄県
39,東海地域花き普及・振興協議会会長賞,市村　豪志,372648,ｲﾜﾚﾝｹﾞ,2.5,40,長野県
50,(株)花卉園芸新聞社賞,石川　孝治,366490,ﾍﾟﾍﾟﾛﾐｱ ｶﾍﾟﾗｰﾀ'ﾋﾟﾝｸﾚﾃﾞｨｰ,3.5,15,愛知県
51,(株)誠文堂新光社「農耕と園芸」賞,岡部　望,371607,ﾊﾂﾕｷｶｽﾞﾗ,3,24,愛知県
52,(株)草土出版社賞,皿井　昌幸,371208,ｱﾝｽﾘｳﾑ A.'ｱﾝｾﾃﾞｼｱﾁｮｺﾚｰﾄ',7,2,愛知県
60,日本植物運輸（株）社長賞,杉浦　博樹,371352,ｼｪﾌﾚﾗ A.'ﾚﾅｰﾀ',3.5,5,愛知県
61,愛知豊明花き流通協同組合理事長賞,伊藤　好博,372138,ﾐﾙｸﾌﾞｯｼｭ,4,11,三重県
62,豊成会会長賞,堤　一生,371954,ﾌｲﾘｵｶﾒﾂﾞﾀ'ｺﾞｰﾙﾄﾞﾗｯｼｭ',10,1,静岡県
63,豊和会会長賞,登川　良雄,371616,ﾃﾞｨｼﾞｺﾞﾃｶ(ｱﾗﾚｱ),6,1,沖縄県
64,豊明花き（株）社長賞,田原迫　正一,366741,ｼﾏﾄﾈﾘｺ,8,1,鹿児島県
65,日本植物運輸（株）社長賞,植田　秀行,372657,ﾕｯｶ ﾃﾞｽﾒﾃｨｱｰﾅ,8,1,静岡県
