特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
50,品評会大賞(愛知豊明花き流通協同組合理事長賞),立光　真一郎,328355,ｱﾝｽﾘｳﾑ A.'ｼﾞｮﾘﾊﾟﾙｽ',7,2,長崎県
51,品評会準大賞,波左間　廣美,327066,ﾃﾞﾍﾝﾊﾞｷｱ'ｸｰﾙﾋﾞｭｰﾃｨｰ',8,2,福岡県
58,千葉県知事賞,井口　繁樹,329795,ﾌｨｶｽ ﾍﾞﾝｶﾞﾚﾝｼｽ,7,1,千葉県
61,静岡県知事賞,片岡　豊,327064,ﾎﾟﾄｽ'ｽﾃｰﾀｽ',7,1,静岡県
67,鹿児島県知事賞,下柳田　正人,328259,ﾎﾟﾘｼｬｽ S.'ｽｰﾊﾟｰﾑｰﾝ',10,1,鹿児島県
68,沖縄県知事賞,漢那　憲,326602,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,7,1,沖縄県
69,指宿市長賞,弓指　隆男,328280,ﾌﾞﾗｷﾁﾄﾝ,15,1,鹿児島県
76,千葉県花き園芸組合連合会会長賞,高橋　繁之,330651,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,8,1,千葉県
79,静岡県鉢物生産振興会会長賞,竹内　誠二,330788,ﾌﾟﾃﾘｽ,3,24,静岡県
84,鹿児島県花き振興会会長賞,田原迫　正一,326255,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,8,1,鹿児島県
85,沖縄県花き園芸協会会長賞(奨励賞),天久　学,329729,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,10,1,沖縄県
86,(一社)日本花き卸売市場協会会長賞,比嘉　悟,326615,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),8,1,沖縄県
87,(一財)日本花普及ｾﾝﾀｰ会長賞,杉本　佑貴,326042,ｱｽﾌﾟﾚﾆｳﾑ N.'ｴﾒﾗﾙﾄﾞｳｴｰﾌﾞ',4,15,福岡県
88,愛知園芸商組合理事長賞,深田　敏男,329648,ｾﾈｼｵ ｸﾚｲﾆｱ(ﾓﾝｷｰﾂﾘｰ),7,1,埼玉県
89,屋内緑化推進協議会会長賞,村松　厚一,326085,ﾊﾗﾝ'ｷﾝﾎﾞｼ',10,1,静岡県
90,(公社)園芸文化協会会長賞,當山　安寿,325911,ﾌｨｶｽ E.'ｱﾎﾟﾛ',10,1,沖縄県
92,ＮＨＫ出版賞,比嘉　久,326658,ﾈﾑﾉｷ'ｴﾊﾞｰﾌﾚｯｼｭ',8,1,沖縄県
93,㈱花卉園芸新聞社賞,古川　定男,329790,ﾍﾟﾃﾞｨﾗﾝｻｽ T.'ﾀﾞｲｷﾞﾝﾘｭｳ',5,8,千葉県
96,東海地域花き普及･振興協議会会長賞,林　健一郎,330639,ｸﾞｽﾞﾏﾆｱ,7,3,千葉県
97,豊成会会長賞,鎌ケ迫　浩,326545,ﾄﾞﾗｾﾅ R.(ﾘﾌﾚｸｻ),10,1,鹿児島県
98,豊和会会長賞,古内　一行,328457,ﾌｨｶｽ E.'ﾛﾌﾞｽﾀｰ',8,1,千葉県
99,豊明花き㈱社長賞,田中　良枝,326386,ﾕｯｶ ｴﾚﾌｧﾝﾃｨﾍﾟｽ,8,1,鹿児島県
100,日本植物運輸㈱社長賞,大杉　崇記,330813,ﾊﾟｷﾗ ｱｸｱﾃｨｶ,10,1,静岡県
