特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,品評会大賞(愛知豊明花き流通(協)理事長賞),吉原一成,321052,ｼｸﾗﾒﾝ,6,1,栃木県
2,品評会準大賞,大久保三男,320743,ﾎﾟｲﾝ'ｸﾘｽﾏｽﾋﾞｭｰﾃｨｰ ﾗｲﾑ',5,1,茨城県
3,北海道知事賞,高橋学,321371,ﾐﾆｼｸ'ﾛｰｾﾞｽ ﾋﾟﾝｸﾊﾞｲｶﾗｰ',10,1,北海道
4,福島県知事賞,根本雄二,320975,ｼｸﾗﾒﾝ,4,1,福島県
5,群馬県知事賞,坂本ティアムチャイ,320597,ﾐﾆｼｸ'ｳｨﾝｸ ﾋﾟﾝｸ',5,1,群馬県
6,茨城県知事賞,小波輝昌,320734,ｸﾚﾏﾁｽ ｱﾝｽﾝｴﾝｼｽ,8,1,茨城県
7,栃木県知事賞,水沼一貴,320467,ﾐﾆｼｸ'ｼﾞｯｸｽ ﾜｲﾝﾚｯﾄﾞ',5,1,栃木県
8,埼玉県知事賞,塩原茂夫,320762,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),4,1,埼玉県
9,千葉県知事賞,高橋康弘,320798,ｼｸﾗﾒﾝ'CCYT'(ｼﾘｰｽﾞ),5,1,千葉県
10,新潟県知事賞,本間春彦,319850,ｱｻﾞﾚｱ,5,1,新潟県
11,長野県知事賞,伊藤長一郎,323148,CYM 'ｲﾁｺﾞﾉｼｽﾞｸ',6.5,1,長野県
12,静岡県知事賞,村松英宣,319250,CYM 'ｺﾞｰﾙﾄﾞｼｯﾌﾟ',7,1,静岡県
13,岡山県知事賞,杉山徹,319350,DEN ﾋﾞｾﾞﾝ'ｱｹﾎﾞﾉ',6,1,岡山県
14,徳島県知事賞,作本達利,545682,CYM 'ｾｲﾔ',6,1,徳島県
15,高知県知事賞,公文拓也,319896,CYM 'ﾅﾅﾂﾎﾞｼ',8,1,高知県
16,福岡県知事賞,和佐野礼子,316958,PHAL 'ｻｸﾗﾋﾒ',8,1,福岡県
17,宮崎県知事賞,近藤邦浩,318304,PHAL ｿｰｺﾞﾕｷﾃﾞｨｱﾝ'V3',8,1,宮崎県
18,北海道鉢花生産組合組合長賞,築城清孝,321339,ﾐﾆｼｸ'ﾏｲｸﾛｺﾞｰﾙﾃﾞﾝｶﾞｰﾙ',3,1,北海道
19,福島県鉢花生産者協議会会長賞,金澤美浩,320920,ﾐﾆｼｸ'ﾁﾓ ﾋﾟｺﾃｨ',4,1,福島県
20,群馬県園芸協会会長賞,小久保憲一,320848,ｼｸﾗﾒﾝ'ﾏｶﾛﾝｼｮｺﾗ',6,1,群馬県
21,茨城県花き園芸協会会長賞,池田遼一,320730,ﾎﾟｲﾝ'ﾌｰﾂﾗ ﾌﾞﾘﾘｱﾝﾚｯﾄﾞ',5,1,茨城県
22,(一社)とちぎ農産物マーケティング協会会長賞,谷澤清三,321100,ﾐﾆｼｸ'ｻﾄﾔﾏ ﾏﾎﾛﾊﾞﾉｻﾄ',6,1,栃木県
23,埼玉県花き園芸組合連合会会長賞,大谷哲保,320534,ﾎﾟｲﾝｾﾁｱ,7,1,埼玉県
24,千葉県花き園芸組合連合会会長賞,平野晃久,558242,ｸﾌﾟﾚｯｻｽ'ｺﾞｰﾙﾄﾞｸﾚｽﾄ',12,1,千葉県
25,新潟県花木振興協議会会長賞,藤田健一,318896,ｱｻﾞﾚｱ,6,1,新潟県
26,長野県鉢花園芸組合組合長賞,青木健,558359,ﾐﾆｼｸ'ｼﾞｯｸｽ'(ｼﾘｰｽﾞ),4,1,長野県
27,静岡県鉢物生産振興会会長賞,西浦弘之,318717,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',7,1,静岡県
28,とくしまの花振興協会会長賞,佐野円次,320017,CYM 'ｱﾄﾘ',7,1,徳島県
29,福岡県花き園芸連合会会長賞,吉村裕子,318920,DENP ﾃﾞﾝﾌｧﾚ (ｿﾞｸﾒｲ),8,1,福岡県
30,熊本県花き協会会長賞,田口通,318579,EPI ｴﾋﾟﾃﾞﾝﾄﾞﾗﾑ (ｿﾞｸﾒｲ),6,1,熊本県
31,宮崎県花き生産者連合会会長賞,中原常和,318310,PHAL ﾋﾞｯｸﾞﾁﾘ,8,1,宮崎県
32,(一社)日本花き卸売市場協会会長賞,石原玄太,322287,ﾐﾆｼｸ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3,1,山梨県
33,(一財)日本花普及センター会長賞,佐藤壮真,318914,ｼｸﾗﾒﾝ'ﾚｼﾞｰﾅ ﾎﾜｲﾄ',5,1,秋田県
34,愛知園芸商組合理事長賞,大竹敏彦,319176,CYM 'ｱｶﾈﾉﾋｶﾘ',7,1,山梨県
35,(公社)園芸文化協会会長賞,新山正志,318866,ｼｸﾗﾒﾝ'ｲﾝﾃﾞｨｱｶ'(ｼﾘｰｽﾞ),5,1,秋田県
36,(一社)日本ハンギングバスケット協会理事長賞,宮崎勇樹,320826,ｼｸﾗﾒﾝ'ｲﾝﾃﾞｨｱｶ'(ｼﾘｰｽﾞ),5,1,千葉県
37,ＮＨＫ出版賞,窪田朝正,319185,CYM ｲｰｽﾀﾝﾊﾞﾆｰ'ﾂｷﾉﾋｶﾘ',7,1,山梨県
38,(株)花卉園芸新聞社賞,福田正彦,319871,CYM 'ｲﾁｺﾞﾉｼｽﾞｸ',7,1,福岡県
39,(株)誠文堂新光社｢農耕と園芸｣賞,茂木敏彦,316627,DTPS MS-PINK'ﾙﾊﾟﾝ',8,1,埼玉県
40,東海地域花き普及・振興協議会会長賞,椎名正樹,316579,PHAL ﾌｧﾚ ﾐﾃﾞｨｰ,99,1,千葉県
41,豊成会会長賞,徳平英亀,318452,EPI ｺｽﾓﾄﾞﾘｰﾑｶﾗｰ'ｺﾁﾓﾓ',6,1,高知県
42,豊和会会長賞,中里寛,320831,ｼｸﾗﾒﾝ'ｼｭｰﾍﾞﾙﾄ'(ﾋﾟﾝｸ),6,1,群馬県
43,豊明花き(株)社長賞(アイデア賞),金子直哉,320546,ｶﾗｰ'ﾌﾛｰｽﾞﾝｸｲｰﾝ',4,1,埼玉県
44,日本植物運輸(株)社長賞,野本寿久,320822,ｼｸﾗﾒﾝ,6,1,群馬県
