特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,小松　大輔,135080,ｱﾝｽﾘｳﾑ A.'ｼﾞｿﾞｰ'(ﾑﾗｻｷ),5,1,愛知県
2,農産局長賞,遠渡　雅之,550479,ﾍﾟﾍﾟﾛﾐｱ'ﾆﾊﾟﾄﾞﾗ',5,1,愛知県
3,東海農政局長賞,大林　智子,135736,ｱﾝｽﾘｳﾑ'ｼﾞｬﾝｸﾞﾙｷﾝｸﾞ',8,1,愛知県
4,愛知県知事賞(豊明花き社長賞),杉原　芳英,135658,ﾎﾟﾄｽ,10,1,愛知県
5,岐阜県知事賞(豊成会会長賞),河本　篤史,136106,ｿﾌｫﾗ ﾌﾟﾛｽﾄﾗｰﾀ'ﾘﾄﾙﾍﾞｲﾋﾞｰ',3,1,岐阜県
6,三重県知事賞(豊和会会長賞),舘　誠,134249,ｱｽﾌﾟﾚﾆｳﾑ N.'ﾌﾟﾘｶﾂﾑ ｱｶｷ',9,1,三重県
7,名古屋市長賞,渡辺　義弘,135657,ﾌｨﾛﾃﾞﾝ ｾﾛｳﾑ'ｽｰﾊﾟｰｱﾄﾑ',4,1,愛知県
8,豊明市長賞,小久保　勝大,134519,ﾌｨｶｽ E.'ﾊﾞｰｶﾞﾝﾃﾞｨ',7,1,愛知県
9,愛知県経済農業協同組合連合会会長賞,近藤　基美,134674,ｽﾊﾟﾃｨﾌｨﾗﾑ'ﾄﾞﾐﾉ',5,1,愛知県
10,愛知県花き温室園芸組合連合会会長賞,皿井　昌幸,135681,ｱﾝｽﾘｳﾑ A.'ｱﾏﾘｱｴﾚｶﾞﾝｽ',8,1,愛知県
11,岐阜県園芸特産振興会会長賞,中島　清,543178,ﾌｨｶｽ ﾙﾋﾞｷﾞﾉｰｻ(ﾌﾗﾝｽｺﾞﾑ),7,1,岐阜県
12,三重県花植木振興会会長賞,北川　博美,135115,ﾁｬﾗﾝ,6,1,三重県
13,ＮＨＫ名古屋放送局長賞,小坂井　巧,135120,ｼｪﾌﾚﾗ A.'ｺﾝﾊﾟｸﾀ',6,1,愛知県
14,豊明市商工会会長賞,荒木　敏明,134525,ﾎﾟﾄｽ,5,1,愛知県
15,屋内緑化推進協議会会長賞,長島　昭彦,135145,ﾌｨﾛﾃﾞﾝ'ﾊﾞｰｷﾝ',6,1,愛知県
16,(公社)園芸文化協会会長賞,木村　昭宏,135272,ｼﾝｺﾞﾆｳﾑ'ﾁｮｺﾚｰﾄ',3.5,1,愛知県
17,ＮＨＫ出版賞,花井　充,543074,ﾎﾟﾘﾎﾟｼﾞｳﾑ A.'ﾌﾞﾙｰｽﾀｰ',6,1,愛知県
18,東海地域花き普及･振興協議会会長賞,河合　康之,135670,ﾕｯｶ ｴﾚﾌｧﾝﾃｨﾍﾟｽ,8,1,愛知県
19,愛知豊明花き流通協同組合理事長賞,水谷　滝光,134995,ﾓﾝｽﾃﾗ'ｼﾞｪｲﾄﾞｳｨﾝｸﾞ',8,1,愛知県
20,日本植物運輸㈱社長賞,山田　有也,135095,ﾌｨｶｽ ﾍﾞﾝｶﾞﾚﾝｼｽ,6,1,愛知県
