特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）（花の部賞）,田尻　敦美,219278,ｵｽﾃｵ'ｾﾚﾆﾃｨ'(ｼﾘｰｽﾞ),3.5,24,長野県
2,東海農政局長賞,鈴木　寿久,219205,ﾍﾟﾁｭﾆｱ'ｷﾅｺｺｱ',3.5,24,愛知県
3,愛知県知事賞,山内　哲也,218673,ﾊﾞｰﾍﾞﾅ'ﾋﾟﾝｸﾎﾟｯﾌﾟ',3.5,24,愛知県
4,岐阜県知事賞,浅野　寿晴,219268,ﾌﾗﾝﾈﾙﾌﾗﾜｰ'ﾘﾄﾙｴﾝｼﾞｪﾙ',3.5,15,岐阜県
5,三重県知事賞,里邨　守彦,219824,ﾗﾍﾞﾝﾀﾞｰ S.'ﾊﾞﾝﾃﾞﾗﾊﾟｰﾌﾟﾙ',3.5,20,三重県
6,静岡県知事賞,内田　茂隆,220032,ﾍﾟﾁｭﾆｱ'WC.ｵｰｷｯﾄﾞﾐｽﾄ',3.5,15,静岡県
7,埼玉県知事賞,横田　仁詩,218322,ﾈﾒｼｱ'ﾈｼｱ'(ｼﾘｰｽﾞ),3.5,24,埼玉県
8,名古屋市長賞（観賞樹の部賞）,麻野間　秀一,219178,ｳﾂｷﾞ,3,15,愛知県
9,豊明市長賞,渡辺　邦通,218767,ｵｽﾃｵ'ﾀﾞﾌﾞﾙﾌｧﾝ'(ｼﾘｰｽﾞ),3.5,24,愛知県
10,愛知県花き温室園芸組合連合会会長賞,梅村　庄治,218640,ﾏﾘｰｺﾞｰﾙﾄﾞ,2.5,24,愛知県
11,岐阜県園芸特産振興会会長賞,小関　正司,219115,ﾍｰﾍﾞ'ﾊｰﾄﾌﾞﾚｰｶｰ',3,24,岐阜県
12,三重県花植木振興会会長賞,森戸　勝美,219266,ﾊｰﾌﾞ,3,40,三重県
13,静岡県鉢物生産振興会会長賞,真野　徹,220639,ﾏｰｶﾞﾚｯﾄ'ｷｭｰﾃｨｰﾏｲｽ',3.5,15,静岡県
14,埼玉県花き園芸組合連合会会長賞,小林　孝之,218314,ｵｽﾃｵ'4D'(ｼﾘｰｽﾞ),4,12,埼玉県
15,(公社)園芸文化協会会長賞,川村　一徳,218399,ｶﾘﾌﾞﾗｺｱ'ﾃｨﾌｫｼｰ',3.5,24,栃木県
16,ＮＨＫ名古屋放送局長賞,手嶋　一郎,218347,ｷｭｳｺﾝﾍﾞｺﾞ'ｷﾀﾉｱｶﾘ',3.5,15,宮城県
17,ＮＨＫ出版賞,竹内　康久,218239,ﾋﾞﾃﾞﾝｽ'ｺﾞｰﾙﾃﾞﾝｴﾝﾊﾟｲﾔ',3,24,兵庫県
18,(株)花卉園芸新聞社賞（ラベルポップ賞）,川上　竜一,218354,ｷﾝｷﾞｮｿｳ'ﾌｫﾚｽﾄﾏﾘｱｰｼﾞｭ'(ﾌｲ,3,24,埼玉県
19,(株)誠文堂新光社「農耕と園芸」賞,新井　正芳（ＪＡほくさい）,218267,ﾀﾞｲｱﾝｻｽ'ﾋﾟﾝｸｷｯｽ',3.5,20,埼玉県
20,(株)草土出版賞,林　康夫,218352,ｱｼﾞｭｶﾞ'ﾊﾞｰｶﾞﾝﾃﾞｨｸﾞﾛｰ',3.5,15,群馬県
21,(株)ナカヤマ賞,フラワーガーデン　戸谷,219451,ﾋﾎﾟｴｽﾃｽ,2.5,24,愛知県
22,フォルツァ(株)賞,村松　正人,217422,ｶﾝﾊﾟﾆｭﾗ'ﾎﾜｲﾄﾜﾝﾀﾞｰ',3.5,15,愛知県
23,丸種絵袋(株)賞,丸山　真登,218875,ﾛｰﾀﾞﾝｾﾏﾑ'ｱﾌﾟﾘｺｯﾄｼﾞｬﾑ',3.5,15,長野県
24,(一社)日本ハンギングバスケット協会理事長賞,西山　正一,218772,ﾊﾞｰﾍﾞﾅ'ﾗﾅｲ ｳﾞｨﾝﾃｰｼﾞｳｫｯｶ',3.5,15,愛知県
25,日本ガーデンデザイナー協会会長賞,松橋　秀樹,219129,ﾀﾞﾘｱ'ﾗﾍﾞﾗﾋﾟｯｺﾛ',3.5,15,愛知県
26,豊明市商工会会長賞（観葉の部賞）,渡会　祥三,218146,ｺﾌﾟﾛｽﾏ,3,24,愛知県
27,東海地域花き普及・振興協議会会長賞,大下　秀幸,221735,ｼﾗﾕｷﾐｾﾊﾞﾔ,2.5,24,岐阜県
28,愛知豊明花き流通協同組合理事長賞,渡辺　政明,218781,ｽｶﾋﾞｵｻ,3,28,愛知県
29,豊成会会長賞,本田　元治,219198,G.ｾﾗｽﾁｵｲﾃﾞｽ(ｵﾉｴﾏﾝﾃﾏ),3,28,岐阜県
30,豊和会会長賞,杉本　隆則,218216,ｻﾞﾙｼﾞｱﾝｽｷﾔ'ﾅｲﾄﾌﾛｯｸｽ',3.5,20,兵庫県
31,豊明花き(株)社長賞（その他の部賞）,川口　勇,219087,ﾊｰﾌﾞ,3,28,愛知県
32,日本植物運輸(株)社長賞,羽鳥　和夫（ＪＡほくさい）,218274,ｴﾆｼﾀﾞ,3.5,20,埼玉県
